2025-04-20 00:20:36,199 INFO    MainThread:3245704 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_setup.py:_flush():67] Configure stats pid to 3245704
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/.config/wandb/settings
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/HKU/EBM/ire_reasoning/wandb/settings
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250420_002036-kyg745rf/logs/debug.log
2025-04-20 00:20:36,200 INFO    MainThread:3245704 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250420_002036-kyg745rf/logs/debug-internal.log
2025-04-20 00:20:36,201 INFO    MainThread:3245704 [wandb_init.py:init():781] calling init triggers
2025-04-20 00:20:36,201 INFO    MainThread:3245704 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 1, '_wandb': {}}
2025-04-20 00:20:36,201 INFO    MainThread:3245704 [wandb_init.py:init():809] starting backend
2025-04-20 00:20:36,201 INFO    MainThread:3245704 [wandb_init.py:init():813] sending inform_init request
2025-04-20 00:20:36,304 INFO    MainThread:3245704 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-20 00:20:36,304 INFO    MainThread:3245704 [wandb_init.py:init():823] backend started and connected
2025-04-20 00:20:36,311 INFO    MainThread:3245704 [wandb_init.py:init():915] updated telemetry
2025-04-20 00:20:36,405 INFO    MainThread:3245704 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-20 00:20:37,080 INFO    MainThread:3245704 [wandb_init.py:init():1014] starting run threads in backend
2025-04-20 00:20:37,334 INFO    MainThread:3245704 [wandb_run.py:_console_start():2454] atexit reg
2025-04-20 00:20:37,334 INFO    MainThread:3245704 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-20 00:20:37,335 INFO    MainThread:3245704 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-20 00:20:37,335 INFO    MainThread:3245704 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-20 00:20:37,337 INFO    MainThread:3245704 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-20 00:20:37,384 INFO    MsgRouterThr:3245704 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
