2025-04-20 19:01:53,188 INFO    MainThread:141052 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_setup.py:_flush():67] Configure stats pid to 141052
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/.config/wandb/settings
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/HKU/EBM/ire_reasoning/wandb/settings
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250420_190153-2gm53che/logs/debug.log
2025-04-20 19:01:53,189 INFO    MainThread:141052 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250420_190153-2gm53che/logs/debug-internal.log
2025-04-20 19:01:53,190 INFO    MainThread:141052 [wandb_init.py:init():781] calling init triggers
2025-04-20 19:01:53,190 INFO    MainThread:141052 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 1, '_wandb': {}}
2025-04-20 19:01:53,190 INFO    MainThread:141052 [wandb_init.py:init():809] starting backend
2025-04-20 19:01:53,190 INFO    MainThread:141052 [wandb_init.py:init():813] sending inform_init request
2025-04-20 19:01:53,215 INFO    MainThread:141052 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-20 19:01:53,215 INFO    MainThread:141052 [wandb_init.py:init():823] backend started and connected
2025-04-20 19:01:53,222 INFO    MainThread:141052 [wandb_init.py:init():915] updated telemetry
2025-04-20 19:01:53,247 INFO    MainThread:141052 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-20 19:01:53,818 INFO    MainThread:141052 [wandb_init.py:init():1014] starting run threads in backend
2025-04-20 19:01:54,063 INFO    MainThread:141052 [wandb_run.py:_console_start():2454] atexit reg
2025-04-20 19:01:54,064 INFO    MainThread:141052 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-20 19:01:54,064 INFO    MainThread:141052 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-20 19:01:54,064 INFO    MainThread:141052 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-20 19:01:54,067 INFO    MainThread:141052 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-20 19:01:57,368 INFO    MsgRouterThr:141052 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
