EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:229: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 8.500622749328613, 'loss': 8.500622749328613}
{'epoch': 0, 'sample': 10, 'avg_loss': 8.342392964796586, 'loss': 8.5520658493042}
{'epoch': 0, 'sample': 20, 'avg_loss': 8.257474967411586, 'loss': 8.135324478149414}
{'epoch': 0, 'sample': 30, 'avg_loss': 8.1422487074329, 'loss': 8.150629043579102}
{'epoch': 0, 'sample': 40, 'avg_loss': 8.024640001901766, 'loss': 7.356263160705566}
{'epoch': 0, 'sample': 50, 'avg_loss': 7.861726115731632, 'loss': 6.641685485839844}
{'epoch': 0, 'sample': 60, 'avg_loss': 7.715773934223613, 'loss': 7.136694431304932}
{'epoch': 0, 'sample': 70, 'avg_loss': 7.529972217452358, 'loss': 6.298892498016357}
{'epoch': 0, 'sample': 80, 'avg_loss': 7.345435884263781, 'loss': 5.550653457641602}
{'epoch': 0, 'sample': 90, 'avg_loss': 7.1513875133388645, 'loss': 5.747260570526123}
{'epoch': 0, 'sample': 100, 'avg_loss': 6.987188188156279, 'loss': 5.258711814880371}
{'epoch': 0, 'sample': 110, 'avg_loss': 6.826099872589111, 'loss': 5.233869552612305}
{'epoch': 0, 'sample': 120, 'avg_loss': 6.68522158536044, 'loss': 4.9886369705200195}
{'epoch': 0, 'sample': 130, 'avg_loss': 6.5562697257704405, 'loss': 5.218259811401367}
{'epoch': 0, 'sample': 140, 'avg_loss': 6.447635853544194, 'loss': 4.806802272796631}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.348204811677238, 'loss': 4.856903553009033}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.25112583622429, 'loss': 4.781866073608398}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.177949556830334, 'loss': 5.089866638183594}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.106060544430222, 'loss': 4.4502272605896}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.042424551479479, 'loss': 4.293023586273193}
{'epoch': 0, 'sample': 200, 'avg_loss': 5.981770311422016, 'loss': 4.701623439788818}
{'epoch': 0, 'sample': 210, 'avg_loss': 5.925014979466443, 'loss': 4.924627304077148}
{'epoch': 0, 'sample': 220, 'avg_loss': 5.878120575555309, 'loss': 4.878532886505127}
{'epoch': 0, 'sample': 230, 'avg_loss': 5.829521767504803, 'loss': 4.17185115814209}
{'epoch': 0, 'sample': 240, 'avg_loss': 5.783619736240118, 'loss': 4.93093204498291}
{'epoch': 0, 'sample': 250, 'avg_loss': 5.7440497485764945, 'loss': 4.744963645935059}
{'epoch': 0, 'sample': 260, 'avg_loss': 5.708387602334735, 'loss': 5.032525539398193}
{'epoch': 0, 'sample': 270, 'avg_loss': 5.671588261628942, 'loss': 4.2631096839904785}
{'epoch': 0, 'sample': 280, 'avg_loss': 5.641131094766257, 'loss': 4.147578716278076}
{'epoch': 0, 'sample': 290, 'avg_loss': 5.611503182407916, 'loss': 4.804965019226074}
{'epoch': 0, 'sample': 300, 'avg_loss': 5.588936803348833, 'loss': 4.861088752746582}
{'epoch': 0, 'sample': 310, 'avg_loss': 5.568616087413678, 'loss': 4.979804039001465}
{'epoch': 0, 'sample': 320, 'avg_loss': 5.540130812059682, 'loss': 4.883111000061035}
{'epoch': 0, 'sample': 330, 'avg_loss': 5.517946918205192, 'loss': 4.489028453826904}
{'epoch': 0, 'sample': 340, 'avg_loss': 5.498777762186492, 'loss': 4.513459205627441}
{'epoch': 0, 'sample': 350, 'avg_loss': 5.480190491065001, 'loss': 4.900013446807861}
{'epoch': 0, 'sample': 360, 'avg_loss': 5.461895813902329, 'loss': 4.476097106933594}
{'epoch': 0, 'sample': 370, 'avg_loss': 5.442306020510486, 'loss': 4.656404495239258}
{'epoch': 0, 'sample': 380, 'avg_loss': 5.428262490925826, 'loss': 4.7602643966674805}
{'epoch': 0, 'sample': 390, 'avg_loss': 5.412402068257637, 'loss': 4.450807571411133}
{'epoch': 0, 'sample': 400, 'avg_loss': 5.398199759813913, 'loss': 4.875302314758301}
{'epoch': 0, 'sample': 410, 'avg_loss': 5.384289684086821, 'loss': 4.651742458343506}
{'epoch': 0, 'sample': 420, 'avg_loss': 5.36717511752439, 'loss': 5.00673770904541}
{'epoch': 0, 'sample': 430, 'avg_loss': 5.353504650554082, 'loss': 5.16491174697876}
{'epoch': 0, 'sample': 440, 'avg_loss': 5.340134653645038, 'loss': 4.89970064163208}
{'epoch': 0, 'sample': 450, 'avg_loss': 5.328663302102268, 'loss': 5.095311164855957}
{'epoch': 0, 'sample': 460, 'avg_loss': 5.314557204277552, 'loss': 4.898688793182373}
{'epoch': 0, 'sample': 470, 'avg_loss': 5.305559881680078, 'loss': 4.909518241882324}
{'epoch': 0, 'sample': 480, 'avg_loss': 5.295716456712656, 'loss': 4.977273464202881}
{'epoch': 0, 'sample': 490, 'avg_loss': 5.2854133084446735, 'loss': 4.5650634765625}
{'epoch': 0, 'sample': 500, 'avg_loss': 5.277951067793155, 'loss': 4.651867389678955}
{'epoch': 0, 'sample': 510, 'avg_loss': 5.2684243126624715, 'loss': 4.966920852661133}
{'epoch': 0, 'sample': 520, 'avg_loss': 5.258883611254408, 'loss': 4.562005519866943}
{'epoch': 0, 'sample': 530, 'avg_loss': 5.249230664553166, 'loss': 4.8708319664001465}
{'epoch': 0, 'sample': 540, 'avg_loss': 5.2393502312094355, 'loss': 4.852849960327148}
{'epoch': 0, 'sample': 550, 'avg_loss': 5.228955633627308, 'loss': 4.193648815155029}
{'epoch': 0, 'sample': 560, 'avg_loss': 5.219315042257734, 'loss': 4.946525573730469}
{'epoch': 0, 'sample': 570, 'avg_loss': 5.214457259286723, 'loss': 4.917804718017578}
{'epoch': 0, 'sample': 580, 'avg_loss': 5.205644320703004, 'loss': 4.691055774688721}
{'epoch': 0, 'sample': 590, 'avg_loss': 5.196739431565183, 'loss': 4.873395919799805}
{'epoch': 0, 'sample': 600, 'avg_loss': 5.190522898453445, 'loss': 4.982630729675293}
{'epoch': 0, 'sample': 610, 'avg_loss': 5.183862966328323, 'loss': 4.658597469329834}
{'epoch': 0, 'sample': 620, 'avg_loss': 5.177820456008789, 'loss': 4.804098129272461}
{'epoch': 0, 'sample': 630, 'avg_loss': 5.169649464203703, 'loss': 4.603043556213379}
{'epoch': 0, 'sample': 640, 'avg_loss': 5.162380607563322, 'loss': 4.966743469238281}
{'epoch': 0, 'sample': 650, 'avg_loss': 5.154657326169461, 'loss': 4.663639545440674}
{'epoch': 0, 'sample': 660, 'avg_loss': 5.146617259272288, 'loss': 4.441462516784668}
{'epoch': 0, 'sample': 670, 'avg_loss': 5.141349478023773, 'loss': 4.566161155700684}
{'epoch': 0, 'sample': 680, 'avg_loss': 5.136629814968585, 'loss': 4.886432647705078}
{'epoch': 0, 'sample': 690, 'avg_loss': 5.132630631478581, 'loss': 5.08801794052124}
{'epoch': 0, 'sample': 700, 'avg_loss': 5.12710067957172, 'loss': 4.914568901062012}
{'epoch': 0, 'sample': 710, 'avg_loss': 5.121898503913826, 'loss': 4.364918231964111}
{'epoch': 0, 'sample': 720, 'avg_loss': 5.115785166559206, 'loss': 4.691825866699219}
{'epoch': 0, 'sample': 730, 'avg_loss': 5.111827738470972, 'loss': 4.7148356437683105}
{'epoch': 0, 'sample': 740, 'avg_loss': 5.106515442633275, 'loss': 4.360228061676025}
{'epoch': 0, 'sample': 750, 'avg_loss': 5.102082290916087, 'loss': 5.32093620300293}
{'epoch': 0, 'sample': 760, 'avg_loss': 5.09781705408936, 'loss': 4.615158557891846}
{'epoch': 0, 'sample': 770, 'avg_loss': 5.089661874350561, 'loss': 3.9796302318573}
{'epoch': 0, 'sample': 780, 'avg_loss': 5.085212690729491, 'loss': 4.114546298980713}
{'epoch': 0, 'sample': 790, 'avg_loss': 5.080560810496623, 'loss': 4.752418518066406}
{'epoch': 0, 'sample': 800, 'avg_loss': 5.077516494172342, 'loss': 4.862821578979492}
{'epoch': 0, 'sample': 810, 'avg_loss': 5.07386218487261, 'loss': 4.902520179748535}
{'epoch': 0, 'sample': 820, 'avg_loss': 5.069400866051975, 'loss': 4.904880046844482}
{'epoch': 0, 'sample': 830, 'avg_loss': 5.065031249887533, 'loss': 4.740058898925781}
{'epoch': 0, 'sample': 840, 'avg_loss': 5.060879717258721, 'loss': 4.876330375671387}
{'epoch': 0, 'sample': 850, 'avg_loss': 5.056487903471699, 'loss': 4.573803901672363}
{'epoch': 0, 'sample': 860, 'avg_loss': 5.0527232773212605, 'loss': 4.907257080078125}
{'epoch': 0, 'sample': 870, 'avg_loss': 5.048246800009884, 'loss': 4.521723747253418}
{'epoch': 0, 'sample': 880, 'avg_loss': 5.044616940884802, 'loss': 5.0279083251953125}
{'epoch': 0, 'sample': 890, 'avg_loss': 5.040617000641914, 'loss': 4.830011367797852}
{'epoch': 0, 'sample': 900, 'avg_loss': 5.036859907929297, 'loss': 4.460368633270264}
{'epoch': 0, 'sample': 910, 'avg_loss': 5.032797742491889, 'loss': 4.842766761779785}
{'epoch': 0, 'sample': 920, 'avg_loss': 5.029468709560481, 'loss': 4.730504512786865}
{'epoch': 0, 'sample': 930, 'avg_loss': 5.027358073809221, 'loss': 4.80565881729126}
{'epoch': 0, 'sample': 940, 'avg_loss': 5.0244790600666205, 'loss': 5.348595142364502}
{'epoch': 0, 'sample': 950, 'avg_loss': 5.021185873184043, 'loss': 4.774651050567627}
{'epoch': 0, 'sample': 960, 'avg_loss': 5.01831291294991, 'loss': 4.940087795257568}
{'epoch': 0, 'sample': 970, 'avg_loss': 5.015797699025682, 'loss': 5.234825611114502}
{'epoch': 0, 'sample': 980, 'avg_loss': 5.01157083715503, 'loss': 4.712475776672363}
{'epoch': 0, 'sample': 990, 'avg_loss': 5.00979017224971, 'loss': 5.036368370056152}
