EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:227: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 7.498756408691406, 'loss': 7.498756408691406}
{'epoch': 0, 'sample': 10, 'avg_loss': 7.522175225344571, 'loss': 7.612069606781006}
{'epoch': 0, 'sample': 20, 'avg_loss': 7.552266461508615, 'loss': 8.021158218383789}
{'epoch': 0, 'sample': 30, 'avg_loss': 7.528731499948809, 'loss': 7.486079216003418}
{'epoch': 0, 'sample': 40, 'avg_loss': 7.457872786173007, 'loss': 6.878952503204346}
{'epoch': 0, 'sample': 50, 'avg_loss': 7.421407540639241, 'loss': 7.391971588134766}
{'epoch': 0, 'sample': 60, 'avg_loss': 7.392298846948342, 'loss': 7.05741024017334}
{'epoch': 0, 'sample': 70, 'avg_loss': 7.346065030971044, 'loss': 7.1925859451293945}
{'epoch': 0, 'sample': 80, 'avg_loss': 7.280133830176459, 'loss': 6.833674430847168}
{'epoch': 0, 'sample': 90, 'avg_loss': 7.226574379009205, 'loss': 7.15071439743042}
{'epoch': 0, 'sample': 100, 'avg_loss': 7.17478340923196, 'loss': 6.621572017669678}
{'epoch': 0, 'sample': 110, 'avg_loss': 7.103298865997039, 'loss': 6.642765045166016}
{'epoch': 0, 'sample': 120, 'avg_loss': 7.032861997273343, 'loss': 5.356710910797119}
{'epoch': 0, 'sample': 130, 'avg_loss': 6.973952089557211, 'loss': 6.138165473937988}
{'epoch': 0, 'sample': 140, 'avg_loss': 6.902248078204216, 'loss': 6.049466609954834}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.829962000941599, 'loss': 5.837921142578125}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.764872805672403, 'loss': 5.82011604309082}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.687494562383284, 'loss': 5.209874629974365}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.623682348767697, 'loss': 5.631061553955078}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.561182880900917, 'loss': 5.440010070800781}
{'epoch': 0, 'sample': 200, 'avg_loss': 6.5044520838343685, 'loss': 5.052455902099609}
{'epoch': 0, 'sample': 210, 'avg_loss': 6.4480022728725634, 'loss': 5.153359413146973}
{'epoch': 0, 'sample': 220, 'avg_loss': 6.3894692977629095, 'loss': 5.003329277038574}
{'epoch': 0, 'sample': 230, 'avg_loss': 6.339347890961222, 'loss': 5.368915557861328}
{'epoch': 0, 'sample': 240, 'avg_loss': 6.285061129890537, 'loss': 5.155977249145508}
{'epoch': 0, 'sample': 250, 'avg_loss': 6.234273020489757, 'loss': 4.9767069816589355}
{'epoch': 0, 'sample': 260, 'avg_loss': 6.185271936358163, 'loss': 4.661717414855957}
{'epoch': 0, 'sample': 270, 'avg_loss': 6.143905980120726, 'loss': 5.125012397766113}
{'epoch': 0, 'sample': 280, 'avg_loss': 6.1027590770314175, 'loss': 5.192490577697754}
{'epoch': 0, 'sample': 290, 'avg_loss': 6.0654165302355265, 'loss': 4.931591033935547}
{'epoch': 0, 'sample': 300, 'avg_loss': 6.02829495854552, 'loss': 5.030241012573242}
{'epoch': 0, 'sample': 310, 'avg_loss': 5.995019649769333, 'loss': 5.149643421173096}
{'epoch': 0, 'sample': 320, 'avg_loss': 5.962996193924425, 'loss': 4.846055507659912}
{'epoch': 0, 'sample': 330, 'avg_loss': 5.925290046501736, 'loss': 4.286310195922852}
{'epoch': 0, 'sample': 340, 'avg_loss': 5.895832747657977, 'loss': 5.22981071472168}
{'epoch': 0, 'sample': 350, 'avg_loss': 5.866320491176725, 'loss': 4.877132892608643}
{'epoch': 0, 'sample': 360, 'avg_loss': 5.840032825179377, 'loss': 5.244228839874268}
{'epoch': 0, 'sample': 370, 'avg_loss': 5.815067498831736, 'loss': 5.171210289001465}
{'epoch': 0, 'sample': 380, 'avg_loss': 5.788919456987556, 'loss': 4.977608680725098}
{'epoch': 0, 'sample': 390, 'avg_loss': 5.767044189945816, 'loss': 4.967536926269531}
{'epoch': 0, 'sample': 400, 'avg_loss': 5.744323687065867, 'loss': 4.929859161376953}
{'epoch': 0, 'sample': 410, 'avg_loss': 5.7227687922707435, 'loss': 4.804850101470947}
{'epoch': 0, 'sample': 420, 'avg_loss': 5.699487083031842, 'loss': 4.702579975128174}
{'epoch': 0, 'sample': 430, 'avg_loss': 5.681105638601387, 'loss': 4.985777854919434}
{'epoch': 0, 'sample': 440, 'avg_loss': 5.66620653124353, 'loss': 5.154998779296875}
{'epoch': 0, 'sample': 450, 'avg_loss': 5.64778865308825, 'loss': 4.958974838256836}
{'epoch': 0, 'sample': 460, 'avg_loss': 5.629544979579537, 'loss': 4.870030879974365}
{'epoch': 0, 'sample': 470, 'avg_loss': 5.610780058393053, 'loss': 4.539439678192139}
{'epoch': 0, 'sample': 480, 'avg_loss': 5.595267755326016, 'loss': 5.202181339263916}
{'epoch': 0, 'sample': 490, 'avg_loss': 5.579819386456989, 'loss': 4.943178176879883}
{'epoch': 0, 'sample': 500, 'avg_loss': 5.565378162913218, 'loss': 4.601861953735352}
{'epoch': 0, 'sample': 510, 'avg_loss': 5.5540524578841, 'loss': 4.9770612716674805}
{'epoch': 0, 'sample': 520, 'avg_loss': 5.538642504851328, 'loss': 5.101020812988281}
{'epoch': 0, 'sample': 530, 'avg_loss': 5.526517203972165, 'loss': 4.5766496658325195}
{'epoch': 0, 'sample': 540, 'avg_loss': 5.512978214873844, 'loss': 4.289984703063965}
{'epoch': 0, 'sample': 550, 'avg_loss': 5.501669447132118, 'loss': 4.947223663330078}
{'epoch': 0, 'sample': 560, 'avg_loss': 5.490534825333512, 'loss': 4.996031284332275}
{'epoch': 0, 'sample': 570, 'avg_loss': 5.481775329325955, 'loss': 5.200788974761963}
{'epoch': 0, 'sample': 580, 'avg_loss': 5.4704325231955915, 'loss': 4.539031982421875}
{'epoch': 0, 'sample': 590, 'avg_loss': 5.461832917482922, 'loss': 5.127087593078613}
{'epoch': 0, 'sample': 600, 'avg_loss': 5.452867205250085, 'loss': 5.062246799468994}
{'epoch': 0, 'sample': 610, 'avg_loss': 5.4412387525586565, 'loss': 5.0120391845703125}
{'epoch': 0, 'sample': 620, 'avg_loss': 5.432601714863678, 'loss': 5.098801136016846}
{'epoch': 0, 'sample': 630, 'avg_loss': 5.423139766732411, 'loss': 4.585927486419678}
{'epoch': 0, 'sample': 640, 'avg_loss': 5.412343450343925, 'loss': 4.8548078536987305}
{'epoch': 0, 'sample': 650, 'avg_loss': 5.403290236234299, 'loss': 5.110003471374512}
{'epoch': 0, 'sample': 660, 'avg_loss': 5.394140418466749, 'loss': 5.029460906982422}
{'epoch': 0, 'sample': 670, 'avg_loss': 5.385403600073074, 'loss': 5.232571601867676}
{'epoch': 0, 'sample': 680, 'avg_loss': 5.377218905699586, 'loss': 4.636039733886719}
{'epoch': 0, 'sample': 690, 'avg_loss': 5.368232048368661, 'loss': 4.911287784576416}
{'epoch': 0, 'sample': 700, 'avg_loss': 5.35893427424356, 'loss': 5.06916618347168}
{'epoch': 0, 'sample': 710, 'avg_loss': 5.351749989218518, 'loss': 4.807155132293701}
{'epoch': 0, 'sample': 720, 'avg_loss': 5.343652538386859, 'loss': 4.676410675048828}
{'epoch': 0, 'sample': 730, 'avg_loss': 5.338239959098409, 'loss': 4.8646087646484375}
{'epoch': 0, 'sample': 740, 'avg_loss': 5.330749846019565, 'loss': 4.368522644042969}
{'epoch': 0, 'sample': 750, 'avg_loss': 5.321603322632304, 'loss': 4.460992813110352}
{'epoch': 0, 'sample': 760, 'avg_loss': 5.3155916595584305, 'loss': 5.0173773765563965}
{'epoch': 0, 'sample': 770, 'avg_loss': 5.309760457037642, 'loss': 5.080113887786865}
{'epoch': 0, 'sample': 780, 'avg_loss': 5.3015851788270485, 'loss': 4.611061096191406}
{'epoch': 0, 'sample': 790, 'avg_loss': 5.29366999239144, 'loss': 4.47137975692749}
{'epoch': 0, 'sample': 800, 'avg_loss': 5.2886941334727995, 'loss': 5.269983291625977}
{'epoch': 0, 'sample': 810, 'avg_loss': 5.283865556469975, 'loss': 5.064739227294922}
{'epoch': 0, 'sample': 820, 'avg_loss': 5.2760187693838665, 'loss': 4.836103439331055}
{'epoch': 0, 'sample': 830, 'avg_loss': 5.270056302797062, 'loss': 5.07697057723999}
{'epoch': 0, 'sample': 840, 'avg_loss': 5.2637240515310895, 'loss': 4.607763290405273}
{'epoch': 0, 'sample': 850, 'avg_loss': 5.258102280833046, 'loss': 4.8043107986450195}
{'epoch': 0, 'sample': 860, 'avg_loss': 5.252575453427057, 'loss': 4.862741470336914}
{'epoch': 0, 'sample': 870, 'avg_loss': 5.2465329022413005, 'loss': 5.024925231933594}
{'epoch': 0, 'sample': 880, 'avg_loss': 5.241535706904365, 'loss': 4.745487213134766}
{'epoch': 0, 'sample': 890, 'avg_loss': 5.236675930879467, 'loss': 4.836338043212891}
{'epoch': 0, 'sample': 900, 'avg_loss': 5.230134585589071, 'loss': 4.754912376403809}
{'epoch': 0, 'sample': 910, 'avg_loss': 5.226122824211414, 'loss': 5.134483337402344}
{'epoch': 0, 'sample': 920, 'avg_loss': 5.22194499223939, 'loss': 4.989928245544434}
{'epoch': 0, 'sample': 930, 'avg_loss': 5.216617895632374, 'loss': 5.1155829429626465}
{'epoch': 0, 'sample': 940, 'avg_loss': 5.212371425851625, 'loss': 4.931580543518066}
{'epoch': 0, 'sample': 950, 'avg_loss': 5.20763747850051, 'loss': 4.789575099945068}
{'epoch': 0, 'sample': 960, 'avg_loss': 5.203478671261473, 'loss': 4.660428524017334}
{'epoch': 0, 'sample': 970, 'avg_loss': 5.199386052564784, 'loss': 4.6641998291015625}
{'epoch': 0, 'sample': 980, 'avg_loss': 5.194729879847847, 'loss': 3.823974132537842}
{'epoch': 0, 'sample': 990, 'avg_loss': 5.191709054105818, 'loss': 5.230144023895264}
