EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:227: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 7.20120096206665, 'loss': 7.20120096206665}
{'epoch': 0, 'sample': 10, 'avg_loss': 6.970216621052135, 'loss': 6.384494304656982}
{'epoch': 0, 'sample': 20, 'avg_loss': 6.9155984833126976, 'loss': 6.810307502746582}
{'epoch': 0, 'sample': 30, 'avg_loss': 6.9236214699283725, 'loss': 6.507774353027344}
{'epoch': 0, 'sample': 40, 'avg_loss': 6.870326949328911, 'loss': 6.598394870758057}
{'epoch': 0, 'sample': 50, 'avg_loss': 6.868752554351208, 'loss': 6.789214611053467}
{'epoch': 0, 'sample': 60, 'avg_loss': 6.839173551465644, 'loss': 6.637138366699219}
{'epoch': 0, 'sample': 70, 'avg_loss': 6.77395652717268, 'loss': 6.052604675292969}
{'epoch': 0, 'sample': 80, 'avg_loss': 6.725793767858435, 'loss': 6.442924976348877}
{'epoch': 0, 'sample': 90, 'avg_loss': 6.662863642304808, 'loss': 6.113314151763916}
{'epoch': 0, 'sample': 100, 'avg_loss': 6.579337998191909, 'loss': 5.658863067626953}
{'epoch': 0, 'sample': 110, 'avg_loss': 6.502179089967195, 'loss': 5.709495544433594}
{'epoch': 0, 'sample': 120, 'avg_loss': 6.411460356278853, 'loss': 5.336907386779785}
{'epoch': 0, 'sample': 130, 'avg_loss': 6.316192939991259, 'loss': 4.977812767028809}
{'epoch': 0, 'sample': 140, 'avg_loss': 6.224343560266156, 'loss': 4.720256805419922}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.127552799831163, 'loss': 4.557088851928711}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.030040092349793, 'loss': 4.530246734619141}
{'epoch': 0, 'sample': 170, 'avg_loss': 5.937435437364188, 'loss': 4.565205097198486}
{'epoch': 0, 'sample': 180, 'avg_loss': 5.845450006137237, 'loss': 4.318759441375732}
{'epoch': 0, 'sample': 190, 'avg_loss': 5.756716322524385, 'loss': 4.0416669845581055}
{'epoch': 0, 'sample': 200, 'avg_loss': 5.669181974373053, 'loss': 3.927445411682129}
{'epoch': 0, 'sample': 210, 'avg_loss': 5.585639698245514, 'loss': 3.720053195953369}
{'epoch': 0, 'sample': 220, 'avg_loss': 5.50462887297928, 'loss': 4.0228118896484375}
{'epoch': 0, 'sample': 230, 'avg_loss': 5.430790172510849, 'loss': 3.6324853897094727}
{'epoch': 0, 'sample': 240, 'avg_loss': 5.358356350190412, 'loss': 3.792325735092163}
{'epoch': 0, 'sample': 250, 'avg_loss': 5.295555476648399, 'loss': 4.107538223266602}
{'epoch': 0, 'sample': 260, 'avg_loss': 5.234461464644392, 'loss': 3.6923789978027344}
{'epoch': 0, 'sample': 270, 'avg_loss': 5.1747432221345795, 'loss': 3.476572275161743}
{'epoch': 0, 'sample': 280, 'avg_loss': 5.118086551856316, 'loss': 3.773341655731201}
{'epoch': 0, 'sample': 290, 'avg_loss': 5.063961145394447, 'loss': 3.4979381561279297}
{'epoch': 0, 'sample': 300, 'avg_loss': 5.0175655284197225, 'loss': 3.6357064247131348}
{'epoch': 0, 'sample': 310, 'avg_loss': 4.9695117258948915, 'loss': 3.63716983795166}
{'epoch': 0, 'sample': 320, 'avg_loss': 4.926499326652456, 'loss': 3.4157817363739014}
{'epoch': 0, 'sample': 330, 'avg_loss': 4.8859131091310894, 'loss': 3.9596762657165527}
{'epoch': 0, 'sample': 340, 'avg_loss': 4.844703331021619, 'loss': 3.4937949180603027}
{'epoch': 0, 'sample': 350, 'avg_loss': 4.805312448077732, 'loss': 3.5250937938690186}
{'epoch': 0, 'sample': 360, 'avg_loss': 4.769981161048868, 'loss': 3.782991409301758}
{'epoch': 0, 'sample': 370, 'avg_loss': 4.73642507139242, 'loss': 3.375629425048828}
{'epoch': 0, 'sample': 380, 'avg_loss': 4.701408630906753, 'loss': 3.0827560424804688}
{'epoch': 0, 'sample': 390, 'avg_loss': 4.6689939200115935, 'loss': 3.3829495906829834}
{'epoch': 0, 'sample': 400, 'avg_loss': 4.63824724615958, 'loss': 3.3514671325683594}
{'epoch': 0, 'sample': 410, 'avg_loss': 4.607714208663235, 'loss': 3.425302028656006}
{'epoch': 0, 'sample': 420, 'avg_loss': 4.581646561905777, 'loss': 3.4192824363708496}
{'epoch': 0, 'sample': 430, 'avg_loss': 4.555250821146777, 'loss': 3.857532501220703}
{'epoch': 0, 'sample': 440, 'avg_loss': 4.528241983616974, 'loss': 3.470935344696045}
{'epoch': 0, 'sample': 450, 'avg_loss': 4.503334033251337, 'loss': 3.3479080200195312}
{'epoch': 0, 'sample': 460, 'avg_loss': 4.477381740371472, 'loss': 3.288421869277954}
{'epoch': 0, 'sample': 470, 'avg_loss': 4.449975649009591, 'loss': 3.131150722503662}
{'epoch': 0, 'sample': 480, 'avg_loss': 4.427551301749977, 'loss': 3.3195090293884277}
{'epoch': 0, 'sample': 490, 'avg_loss': 4.404238314346966, 'loss': 3.1465749740600586}
{'epoch': 0, 'sample': 500, 'avg_loss': 4.379991617507326, 'loss': 3.2862672805786133}
{'epoch': 0, 'sample': 510, 'avg_loss': 4.357832630086552, 'loss': 3.4118964672088623}
{'epoch': 0, 'sample': 520, 'avg_loss': 4.336131033650287, 'loss': 2.986576557159424}
{'epoch': 0, 'sample': 530, 'avg_loss': 4.3161795045022915, 'loss': 3.2262587547302246}
{'epoch': 0, 'sample': 540, 'avg_loss': 4.298073524027346, 'loss': 3.3778042793273926}
{'epoch': 0, 'sample': 550, 'avg_loss': 4.278935740517618, 'loss': 3.058196783065796}
{'epoch': 0, 'sample': 560, 'avg_loss': 4.260710016716398, 'loss': 3.587658166885376}
{'epoch': 0, 'sample': 570, 'avg_loss': 4.241509091415672, 'loss': 3.3895773887634277}
{'epoch': 0, 'sample': 580, 'avg_loss': 4.2250511022525075, 'loss': 3.273181676864624}
{'epoch': 0, 'sample': 590, 'avg_loss': 4.208429414003634, 'loss': 3.1767945289611816}
{'epoch': 0, 'sample': 600, 'avg_loss': 4.19349096380732, 'loss': 3.2867562770843506}
{'epoch': 0, 'sample': 610, 'avg_loss': 4.175303782261725, 'loss': 2.9852452278137207}
{'epoch': 0, 'sample': 620, 'avg_loss': 4.159007955864432, 'loss': 3.265115261077881}
{'epoch': 0, 'sample': 630, 'avg_loss': 4.142834543237218, 'loss': 2.9436187744140625}
{'epoch': 0, 'sample': 640, 'avg_loss': 4.127668433181953, 'loss': 3.0865485668182373}
{'epoch': 0, 'sample': 650, 'avg_loss': 4.112413818385744, 'loss': 2.9572384357452393}
{'epoch': 0, 'sample': 660, 'avg_loss': 4.098704029319867, 'loss': 3.1113767623901367}
{'epoch': 0, 'sample': 670, 'avg_loss': 4.0847109014337715, 'loss': 3.035728931427002}
{'epoch': 0, 'sample': 680, 'avg_loss': 4.070109550473274, 'loss': 2.7831790447235107}
{'epoch': 0, 'sample': 690, 'avg_loss': 4.058597458081722, 'loss': 3.2778429985046387}
{'epoch': 0, 'sample': 700, 'avg_loss': 4.047551701310358, 'loss': 3.173041582107544}
{'epoch': 0, 'sample': 710, 'avg_loss': 4.0353170467328425, 'loss': 3.25498628616333}
{'epoch': 0, 'sample': 720, 'avg_loss': 4.024006735765983, 'loss': 3.044302225112915}
{'epoch': 0, 'sample': 730, 'avg_loss': 4.0135905325168135, 'loss': 3.0715949535369873}
{'epoch': 0, 'sample': 740, 'avg_loss': 4.003483304449743, 'loss': 3.6098132133483887}
{'epoch': 0, 'sample': 750, 'avg_loss': 3.9917870215506115, 'loss': 3.2712202072143555}
{'epoch': 0, 'sample': 760, 'avg_loss': 3.980229846124737, 'loss': 3.0925400257110596}
{'epoch': 0, 'sample': 770, 'avg_loss': 3.968901594634495, 'loss': 3.4444568157196045}
{'epoch': 0, 'sample': 780, 'avg_loss': 3.9586545373963027, 'loss': 3.322543144226074}
{'epoch': 0, 'sample': 790, 'avg_loss': 3.948731462210982, 'loss': 2.925265312194824}
{'epoch': 0, 'sample': 800, 'avg_loss': 3.939268052057083, 'loss': 3.243642568588257}
{'epoch': 0, 'sample': 810, 'avg_loss': 3.930442084219541, 'loss': 3.284592628479004}
{'epoch': 0, 'sample': 820, 'avg_loss': 3.920207395913685, 'loss': 3.2491230964660645}
{'epoch': 0, 'sample': 830, 'avg_loss': 3.910343749428484, 'loss': 3.2241151332855225}
{'epoch': 0, 'sample': 840, 'avg_loss': 3.9013817174256062, 'loss': 3.347903251647949}
{'epoch': 0, 'sample': 850, 'avg_loss': 3.892800807672718, 'loss': 3.4747180938720703}
{'epoch': 0, 'sample': 860, 'avg_loss': 3.884395415774621, 'loss': 3.1503677368164062}
{'epoch': 0, 'sample': 870, 'avg_loss': 3.875990670803083, 'loss': 3.377561330795288}
{'epoch': 0, 'sample': 880, 'avg_loss': 3.867636485754699, 'loss': 3.0456957817077637}
{'epoch': 0, 'sample': 890, 'avg_loss': 3.8584040889033564, 'loss': 2.9190587997436523}
{'epoch': 0, 'sample': 900, 'avg_loss': 3.8496182332689832, 'loss': 3.1016666889190674}
{'epoch': 0, 'sample': 910, 'avg_loss': 3.8419965297539855, 'loss': 3.1265053749084473}
{'epoch': 0, 'sample': 920, 'avg_loss': 3.8339223975596806, 'loss': 3.3951382637023926}
{'epoch': 0, 'sample': 930, 'avg_loss': 3.826265537905258, 'loss': 3.011756181716919}
{'epoch': 0, 'sample': 940, 'avg_loss': 3.8194691412760524, 'loss': 3.0323994159698486}
{'epoch': 0, 'sample': 950, 'avg_loss': 3.8137300144861426, 'loss': 3.63002610206604}
{'epoch': 0, 'sample': 960, 'avg_loss': 3.806505761459144, 'loss': 3.0418968200683594}
{'epoch': 0, 'sample': 970, 'avg_loss': 3.800273554700779, 'loss': 3.071521759033203}
{'epoch': 0, 'sample': 980, 'avg_loss': 3.792462246376683, 'loss': 3.148958683013916}
