EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:232: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 1.8738857507705688, 'loss': 1.8738857507705688}
{'epoch': 0, 'sample': 10, 'avg_loss': 1.8959421894767068, 'loss': 1.9196786880493164}
{'epoch': 0, 'sample': 20, 'avg_loss': 1.891592610450018, 'loss': 1.8277206420898438}
{'epoch': 0, 'sample': 30, 'avg_loss': 1.8780907238683393, 'loss': 1.8458071947097778}
{'epoch': 0, 'sample': 40, 'avg_loss': 1.8653896174779752, 'loss': 1.8217403888702393}
{'epoch': 0, 'sample': 50, 'avg_loss': 1.847881747227089, 'loss': 1.7920398712158203}
{'epoch': 0, 'sample': 60, 'avg_loss': 1.8299801720947515, 'loss': 1.701353669166565}
{'epoch': 0, 'sample': 70, 'avg_loss': 1.8091632010231555, 'loss': 1.6782090663909912}
{'epoch': 0, 'sample': 80, 'avg_loss': 1.7872677246729534, 'loss': 1.6241259574890137}
{'epoch': 0, 'sample': 90, 'avg_loss': 1.7627230476547073, 'loss': 1.5610487461090088}
{'epoch': 0, 'sample': 100, 'avg_loss': 1.7362718239869221, 'loss': 1.4863306283950806}
{'epoch': 0, 'sample': 110, 'avg_loss': 1.7083392111030784, 'loss': 1.4165440797805786}
{'epoch': 0, 'sample': 120, 'avg_loss': 1.6777816902507434, 'loss': 1.3153932094573975}
{'epoch': 0, 'sample': 130, 'avg_loss': 1.6468608488563363, 'loss': 1.2429507970809937}
{'epoch': 0, 'sample': 140, 'avg_loss': 1.6154893585976133, 'loss': 1.1847960948944092}
{'epoch': 0, 'sample': 150, 'avg_loss': 1.5831944879317126, 'loss': 1.0854254961013794}
{'epoch': 0, 'sample': 160, 'avg_loss': 1.5517420309670964, 'loss': 1.0521653890609741}
{'epoch': 0, 'sample': 170, 'avg_loss': 1.5201151984476904, 'loss': 1.0026522874832153}
{'epoch': 0, 'sample': 180, 'avg_loss': 1.4899414850203372, 'loss': 0.9507216215133667}
{'epoch': 0, 'sample': 190, 'avg_loss': 1.4602008789621723, 'loss': 0.8824581503868103}
{'epoch': 0, 'sample': 200, 'avg_loss': 1.4323868733733447, 'loss': 0.8997324109077454}
{'epoch': 0, 'sample': 210, 'avg_loss': 1.405827350243573, 'loss': 0.8626832365989685}
{'epoch': 0, 'sample': 220, 'avg_loss': 1.3809418780771316, 'loss': 0.8451148867607117}
{'epoch': 0, 'sample': 230, 'avg_loss': 1.357461234707853, 'loss': 0.813186526298523}
{'epoch': 0, 'sample': 240, 'avg_loss': 1.3354838863942633, 'loss': 0.8399264216423035}
{'epoch': 0, 'sample': 250, 'avg_loss': 1.3142759151667713, 'loss': 0.8009106516838074}
{'epoch': 0, 'sample': 260, 'avg_loss': 1.2947458700201977, 'loss': 0.8077839016914368}
{'epoch': 0, 'sample': 270, 'avg_loss': 1.2764646248184006, 'loss': 0.8233926296234131}
{'epoch': 0, 'sample': 280, 'avg_loss': 1.2594798266675549, 'loss': 0.813319206237793}
{'epoch': 0, 'sample': 290, 'avg_loss': 1.2432729206544018, 'loss': 0.7833380699157715}
{'epoch': 0, 'sample': 300, 'avg_loss': 1.228011020988325, 'loss': 0.782310426235199}
{'epoch': 0, 'sample': 310, 'avg_loss': 1.213630308292303, 'loss': 0.7747488617897034}
{'epoch': 0, 'sample': 320, 'avg_loss': 1.199879956579654, 'loss': 0.7654724717140198}
{'epoch': 0, 'sample': 330, 'avg_loss': 1.1869390788755387, 'loss': 0.7662060260772705}
{'epoch': 0, 'sample': 340, 'avg_loss': 1.1744128839710941, 'loss': 0.7396302223205566}
{'epoch': 0, 'sample': 350, 'avg_loss': 1.162714531958273, 'loss': 0.771929144859314}
{'epoch': 0, 'sample': 360, 'avg_loss': 1.1516842257613291, 'loss': 0.7483476996421814}
{'epoch': 0, 'sample': 370, 'avg_loss': 1.1413915064135651, 'loss': 0.7667834758758545}
{'epoch': 0, 'sample': 380, 'avg_loss': 1.1315966318911455, 'loss': 0.7596972584724426}
{'epoch': 0, 'sample': 390, 'avg_loss': 1.1220475567881103, 'loss': 0.7606813907623291}
{'epoch': 0, 'sample': 400, 'avg_loss': 1.1127406132786053, 'loss': 0.754908561706543}
{'epoch': 0, 'sample': 410, 'avg_loss': 1.103837247312504, 'loss': 0.7421504855155945}
{'epoch': 0, 'sample': 420, 'avg_loss': 1.0954516770720766, 'loss': 0.7266548871994019}
{'epoch': 0, 'sample': 430, 'avg_loss': 1.0873473979480859, 'loss': 0.7593370676040649}
{'epoch': 0, 'sample': 440, 'avg_loss': 1.0797514134253503, 'loss': 0.764565110206604}
{'epoch': 0, 'sample': 450, 'avg_loss': 1.0723339759325505, 'loss': 0.7251841425895691}
{'epoch': 0, 'sample': 460, 'avg_loss': 1.0651720468754882, 'loss': 0.7390228509902954}
{'epoch': 0, 'sample': 470, 'avg_loss': 1.0582340864618873, 'loss': 0.7672768235206604}
{'epoch': 0, 'sample': 480, 'avg_loss': 1.0518511386274547, 'loss': 0.7537140250205994}
{'epoch': 0, 'sample': 490, 'avg_loss': 1.0456277622467631, 'loss': 0.7740173935890198}
{'epoch': 0, 'sample': 500, 'avg_loss': 1.039435159303471, 'loss': 0.7435574531555176}
{'epoch': 0, 'sample': 510, 'avg_loss': 1.033611459741387, 'loss': 0.7669349908828735}
{'epoch': 0, 'sample': 520, 'avg_loss': 1.027902729909388, 'loss': 0.7170072197914124}
{'epoch': 0, 'sample': 530, 'avg_loss': 1.022348784008493, 'loss': 0.7375342845916748}
{'epoch': 0, 'sample': 540, 'avg_loss': 1.0169343623348173, 'loss': 0.7338855862617493}
{'epoch': 0, 'sample': 550, 'avg_loss': 1.0117053859030487, 'loss': 0.7403733730316162}
{'epoch': 0, 'sample': 560, 'avg_loss': 1.0066424868536081, 'loss': 0.7183610796928406}
{'epoch': 0, 'sample': 570, 'avg_loss': 1.0018450230516611, 'loss': 0.7573045492172241}
{'epoch': 0, 'sample': 580, 'avg_loss': 0.9970437274947634, 'loss': 0.724786102771759}
{'epoch': 0, 'sample': 590, 'avg_loss': 0.9925149481510349, 'loss': 0.727893590927124}
{'epoch': 0, 'sample': 600, 'avg_loss': 0.9881715772552617, 'loss': 0.7257473468780518}
{'epoch': 0, 'sample': 610, 'avg_loss': 0.9838170359450744, 'loss': 0.7082341909408569}
{'epoch': 0, 'sample': 620, 'avg_loss': 0.9797727739177464, 'loss': 0.7251611948013306}
{'epoch': 0, 'sample': 630, 'avg_loss': 0.9756677156393955, 'loss': 0.7004641890525818}
{'epoch': 0, 'sample': 640, 'avg_loss': 0.9715110640072041, 'loss': 0.6589170694351196}
{'epoch': 0, 'sample': 650, 'avg_loss': 0.9677814706679313, 'loss': 0.7170215249061584}
{'epoch': 0, 'sample': 660, 'avg_loss': 0.9640368922034479, 'loss': 0.7201979160308838}
{'epoch': 0, 'sample': 670, 'avg_loss': 0.9603260517475679, 'loss': 0.7128324508666992}
{'epoch': 0, 'sample': 680, 'avg_loss': 0.9567465973845662, 'loss': 0.7231549024581909}
{'epoch': 0, 'sample': 690, 'avg_loss': 0.9532931080430358, 'loss': 0.7115320563316345}
{'epoch': 0, 'sample': 700, 'avg_loss': 0.9499416290948463, 'loss': 0.8092459440231323}
{'epoch': 0, 'sample': 710, 'avg_loss': 0.9468402431651678, 'loss': 0.7302225232124329}
{'epoch': 0, 'sample': 720, 'avg_loss': 0.9435936004212759, 'loss': 0.7116422057151794}
{'epoch': 0, 'sample': 730, 'avg_loss': 0.9405504988580331, 'loss': 0.7298035025596619}
{'epoch': 0, 'sample': 740, 'avg_loss': 0.93746431773169, 'loss': 0.7042186260223389}
{'epoch': 0, 'sample': 750, 'avg_loss': 0.9344712328339385, 'loss': 0.7026772499084473}
{'epoch': 0, 'sample': 760, 'avg_loss': 0.9316562970270466, 'loss': 0.7307929992675781}
{'epoch': 0, 'sample': 770, 'avg_loss': 0.9287684218892791, 'loss': 0.7200440764427185}
{'epoch': 0, 'sample': 780, 'avg_loss': 0.9259389019195615, 'loss': 0.7183846235275269}
{'epoch': 0, 'sample': 790, 'avg_loss': 0.9232326652548557, 'loss': 0.7139633893966675}
{'epoch': 0, 'sample': 800, 'avg_loss': 0.9205071414901076, 'loss': 0.699254035949707}
{'epoch': 0, 'sample': 810, 'avg_loss': 0.9179089317780388, 'loss': 0.7114083766937256}
{'epoch': 0, 'sample': 820, 'avg_loss': 0.9152217906662665, 'loss': 0.6675279140472412}
{'epoch': 0, 'sample': 830, 'avg_loss': 0.9126006455197662, 'loss': 0.6976935863494873}
{'epoch': 0, 'sample': 840, 'avg_loss': 0.9101281878355709, 'loss': 0.7211223840713501}
{'epoch': 0, 'sample': 850, 'avg_loss': 0.9076103395776939, 'loss': 0.7258968949317932}
{'epoch': 0, 'sample': 860, 'avg_loss': 0.9051956909597266, 'loss': 0.6855332851409912}
{'epoch': 0, 'sample': 870, 'avg_loss': 0.9029264198241908, 'loss': 0.7208476066589355}
{'epoch': 0, 'sample': 880, 'avg_loss': 0.9006460522820541, 'loss': 0.7297192811965942}
{'epoch': 0, 'sample': 890, 'avg_loss': 0.8984750472469094, 'loss': 0.700248658657074}
{'epoch': 0, 'sample': 900, 'avg_loss': 0.896338508608074, 'loss': 0.7018553614616394}
{'epoch': 0, 'sample': 910, 'avg_loss': 0.8941956082630891, 'loss': 0.7209082841873169}
{'epoch': 0, 'sample': 920, 'avg_loss': 0.8920835496677767, 'loss': 0.7077187299728394}
{'epoch': 0, 'sample': 930, 'avg_loss': 0.8900430545642988, 'loss': 0.6872113347053528}
{'epoch': 0, 'sample': 940, 'avg_loss': 0.8880251295128233, 'loss': 0.6646600961685181}
{'epoch': 0, 'sample': 950, 'avg_loss': 0.8860372002819233, 'loss': 0.7050663232803345}
{'epoch': 0, 'sample': 960, 'avg_loss': 0.8842120339917591, 'loss': 0.720126748085022}
