2025-04-21 03:52:21,989 INFO    MainThread:1230826 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_setup.py:_flush():67] Configure stats pid to 1230826
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/.config/wandb/settings
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_setup.py:_flush():67] Loading settings from /home/yichuan/HKU/EBM/ire_reasoning/wandb/settings
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250421_035221-nfi7i9x1/logs/debug.log
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/yichuan/HKU/EBM/ire_reasoning/wandb/run-20250421_035221-nfi7i9x1/logs/debug-internal.log
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:init():781] calling init triggers
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 1, '_wandb': {}}
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:init():809] starting backend
2025-04-21 03:52:21,990 INFO    MainThread:1230826 [wandb_init.py:init():813] sending inform_init request
2025-04-21 03:52:22,014 INFO    MainThread:1230826 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-21 03:52:22,014 INFO    MainThread:1230826 [wandb_init.py:init():823] backend started and connected
2025-04-21 03:52:22,019 INFO    MainThread:1230826 [wandb_init.py:init():915] updated telemetry
2025-04-21 03:52:22,040 INFO    MainThread:1230826 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-21 03:52:22,663 INFO    MainThread:1230826 [wandb_init.py:init():1014] starting run threads in backend
2025-04-21 03:52:22,908 INFO    MainThread:1230826 [wandb_run.py:_console_start():2454] atexit reg
2025-04-21 03:52:22,909 INFO    MainThread:1230826 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-21 03:52:22,909 INFO    MainThread:1230826 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-21 03:52:22,910 INFO    MainThread:1230826 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-21 03:52:22,912 INFO    MainThread:1230826 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-21 03:52:23,177 INFO    MsgRouterThr:1230826 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
