EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:250: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 7.92960786819458, 'loss': 7.92960786819458}
{'epoch': 0, 'sample': 10, 'avg_loss': 7.399407386779785, 'loss': 6.4104790687561035}
{'epoch': 0, 'sample': 20, 'avg_loss': 7.375948633466448, 'loss': 7.265944480895996}
{'epoch': 0, 'sample': 30, 'avg_loss': 7.3308390186678976, 'loss': 7.192798614501953}
{'epoch': 0, 'sample': 40, 'avg_loss': 7.362435945650426, 'loss': 8.04944896697998}
{'epoch': 0, 'sample': 50, 'avg_loss': 7.416122099932502, 'loss': 7.572123050689697}
{'epoch': 0, 'sample': 60, 'avg_loss': 7.383826161994309, 'loss': 7.920387268066406}
{'epoch': 0, 'sample': 70, 'avg_loss': 7.3532784421679, 'loss': 7.282355308532715}
{'epoch': 0, 'sample': 80, 'avg_loss': 7.297263021822329, 'loss': 6.25247859954834}
{'epoch': 0, 'sample': 90, 'avg_loss': 7.237633490300441, 'loss': 6.516485214233398}
{'epoch': 0, 'sample': 100, 'avg_loss': 7.204889373023911, 'loss': 6.926408767700195}
{'epoch': 0, 'sample': 110, 'avg_loss': 7.167798076664005, 'loss': 6.758004188537598}
{'epoch': 0, 'sample': 120, 'avg_loss': 7.114003776518767, 'loss': 6.70599889755249}
{'epoch': 0, 'sample': 130, 'avg_loss': 7.057168010536951, 'loss': 6.536583423614502}
{'epoch': 0, 'sample': 140, 'avg_loss': 7.0207186117239875, 'loss': 6.746923923492432}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.968892457469409, 'loss': 5.623725414276123}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.897659135901409, 'loss': 5.088294506072998}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.834974358653464, 'loss': 6.236286640167236}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.79547044321977, 'loss': 6.3855156898498535}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.761689443238743, 'loss': 5.705074310302734}
{'epoch': 0, 'sample': 200, 'avg_loss': 6.704345850209099, 'loss': 5.46198034286499}
{'epoch': 0, 'sample': 210, 'avg_loss': 6.6506378865355, 'loss': 4.343413352966309}
{'epoch': 0, 'sample': 220, 'avg_loss': 6.626573308021235, 'loss': 5.798608779907227}
{'epoch': 0, 'sample': 230, 'avg_loss': 6.589559014225419, 'loss': 5.945919990539551}
{'epoch': 0, 'sample': 240, 'avg_loss': 6.558861500989352, 'loss': 6.524819850921631}
{'epoch': 0, 'sample': 250, 'avg_loss': 6.511021976926887, 'loss': 4.073160171508789}
{'epoch': 0, 'sample': 260, 'avg_loss': 6.464327300645382, 'loss': 5.653043270111084}
{'epoch': 0, 'sample': 270, 'avg_loss': 6.433564671731083, 'loss': 5.839745998382568}
{'epoch': 0, 'sample': 280, 'avg_loss': 6.42255951586143, 'loss': 6.557914733886719}
{'epoch': 0, 'sample': 290, 'avg_loss': 6.400846324016139, 'loss': 6.645519256591797}
{'epoch': 0, 'sample': 300, 'avg_loss': 6.374467604184072, 'loss': 3.907978057861328}
{'epoch': 0, 'sample': 310, 'avg_loss': 6.351804822204198, 'loss': 4.599065780639648}
{'epoch': 0, 'sample': 320, 'avg_loss': 6.332199409371968, 'loss': 6.451905727386475}
{'epoch': 0, 'sample': 330, 'avg_loss': 6.303483844163555, 'loss': 5.440621376037598}
{'epoch': 0, 'sample': 340, 'avg_loss': 6.276567445822126, 'loss': 5.69590425491333}
{'epoch': 0, 'sample': 350, 'avg_loss': 6.252979046938426, 'loss': 6.482144832611084}
{'epoch': 0, 'sample': 360, 'avg_loss': 6.239782748790329, 'loss': 5.19167947769165}
{'epoch': 0, 'sample': 370, 'avg_loss': 6.22162336866168, 'loss': 6.81280517578125}
{'epoch': 0, 'sample': 380, 'avg_loss': 6.213095706904654, 'loss': 6.5924530029296875}
{'epoch': 0, 'sample': 390, 'avg_loss': 6.188185915617686, 'loss': 4.513941764831543}
{'epoch': 0, 'sample': 400, 'avg_loss': 6.176749888798245, 'loss': 6.787838935852051}
{'epoch': 0, 'sample': 410, 'avg_loss': 6.163749078184439, 'loss': 5.989447593688965}
{'epoch': 0, 'sample': 420, 'avg_loss': 6.141023637563203, 'loss': 5.5112152099609375}
{'epoch': 0, 'sample': 430, 'avg_loss': 6.122772878947778, 'loss': 5.659821033477783}
{'epoch': 0, 'sample': 440, 'avg_loss': 6.108642130481954, 'loss': 5.8653883934021}
{'epoch': 0, 'sample': 450, 'avg_loss': 6.093035115370993, 'loss': 4.544648170471191}
{'epoch': 0, 'sample': 460, 'avg_loss': 6.077258603950384, 'loss': 5.264781951904297}
{'epoch': 0, 'sample': 470, 'avg_loss': 6.064502960557391, 'loss': 5.106710910797119}
{'epoch': 0, 'sample': 480, 'avg_loss': 6.058301979687506, 'loss': 5.534230709075928}
{'epoch': 0, 'sample': 490, 'avg_loss': 6.047628992686689, 'loss': 5.400527000427246}
{'epoch': 0, 'sample': 500, 'avg_loss': 6.038615209137846, 'loss': 5.848326206207275}
{'epoch': 0, 'sample': 510, 'avg_loss': 6.028531743122407, 'loss': 5.592521667480469}
{'epoch': 0, 'sample': 520, 'avg_loss': 6.023331668235061, 'loss': 5.66013240814209}
{'epoch': 0, 'sample': 530, 'avg_loss': 6.015095766430297, 'loss': 3.7780635356903076}
{'epoch': 0, 'sample': 540, 'avg_loss': 6.005197071103645, 'loss': 4.425560474395752}
{'epoch': 0, 'sample': 550, 'avg_loss': 5.996674714633644, 'loss': 6.692622661590576}
{'epoch': 0, 'sample': 560, 'avg_loss': 5.981313903064014, 'loss': 5.487400054931641}
{'epoch': 0, 'sample': 570, 'avg_loss': 5.973655853087764, 'loss': 4.944125175476074}
{'epoch': 0, 'sample': 580, 'avg_loss': 5.9617989383342955, 'loss': 4.288761615753174}
{'epoch': 0, 'sample': 590, 'avg_loss': 5.954765539685684, 'loss': 4.663304805755615}
{'epoch': 0, 'sample': 600, 'avg_loss': 5.942667287121993, 'loss': 4.634335517883301}
{'epoch': 0, 'sample': 610, 'avg_loss': 5.935803517577301, 'loss': 4.903040409088135}
{'epoch': 0, 'sample': 620, 'avg_loss': 5.931144639489731, 'loss': 5.345309734344482}
{'epoch': 0, 'sample': 630, 'avg_loss': 5.924442905253729, 'loss': 5.326684951782227}
{'epoch': 0, 'sample': 640, 'avg_loss': 5.917125851055389, 'loss': 5.237349987030029}
{'epoch': 0, 'sample': 650, 'avg_loss': 5.912273851957189, 'loss': 5.106176376342773}
{'epoch': 0, 'sample': 660, 'avg_loss': 5.904448489378152, 'loss': 5.762996673583984}
{'epoch': 0, 'sample': 670, 'avg_loss': 5.897266922338176, 'loss': 5.6402106285095215}
{'epoch': 0, 'sample': 680, 'avg_loss': 5.884464565702822, 'loss': 5.401082992553711}
{'epoch': 0, 'sample': 690, 'avg_loss': 5.878199298543971, 'loss': 6.238457679748535}
{'epoch': 0, 'sample': 700, 'avg_loss': 5.871652692939008, 'loss': 4.76700496673584}
{'epoch': 0, 'sample': 710, 'avg_loss': 5.866949884868037, 'loss': 5.5794525146484375}
{'epoch': 0, 'sample': 720, 'avg_loss': 5.857754354834061, 'loss': 4.980129241943359}
{'epoch': 0, 'sample': 730, 'avg_loss': 5.84904248345893, 'loss': 5.703561782836914}
{'epoch': 0, 'sample': 740, 'avg_loss': 5.842421404263269, 'loss': 4.768355369567871}
{'epoch': 0, 'sample': 750, 'avg_loss': 5.834800841487676, 'loss': 4.49841833114624}
{'epoch': 0, 'sample': 760, 'avg_loss': 5.833550345412065, 'loss': 5.267220497131348}
{'epoch': 0, 'sample': 770, 'avg_loss': 5.820871729485874, 'loss': 5.729272365570068}
{'epoch': 0, 'sample': 780, 'avg_loss': 5.809229946930186, 'loss': 3.5071144104003906}
{'epoch': 0, 'sample': 790, 'avg_loss': 5.804296022419984, 'loss': 5.435245990753174}
{'epoch': 0, 'sample': 800, 'avg_loss': 5.798004648361015, 'loss': 4.786391258239746}
{'epoch': 0, 'sample': 810, 'avg_loss': 5.800074503542316, 'loss': 6.870824337005615}
{'epoch': 0, 'sample': 820, 'avg_loss': 5.798283665827799, 'loss': 5.116625785827637}
{'epoch': 0, 'sample': 830, 'avg_loss': 5.795103613076514, 'loss': 5.590077877044678}
{'epoch': 0, 'sample': 840, 'avg_loss': 5.790443545998064, 'loss': 5.610363960266113}
{'epoch': 0, 'sample': 850, 'avg_loss': 5.785012799060163, 'loss': 5.299704074859619}
{'epoch': 0, 'sample': 860, 'avg_loss': 5.7733048143840975, 'loss': 4.9947991371154785}
{'epoch': 0, 'sample': 870, 'avg_loss': 5.772088504959878, 'loss': 6.078561305999756}
{'epoch': 0, 'sample': 880, 'avg_loss': 5.766816807929828, 'loss': 5.945593357086182}
{'epoch': 0, 'sample': 890, 'avg_loss': 5.764118196988346, 'loss': 6.253483772277832}
{'epoch': 0, 'sample': 900, 'avg_loss': 5.762077637703119, 'loss': 5.307358741760254}
{'epoch': 0, 'sample': 910, 'avg_loss': 5.762325499636151, 'loss': 5.688844203948975}
{'epoch': 0, 'sample': 920, 'avg_loss': 5.758458641012898, 'loss': 4.827507019042969}
{'epoch': 0, 'sample': 930, 'avg_loss': 5.755745058285051, 'loss': 6.326259613037109}
{'epoch': 0, 'sample': 940, 'avg_loss': 5.752515849347576, 'loss': 5.757084846496582}
{'epoch': 0, 'sample': 950, 'avg_loss': 5.748874809965099, 'loss': 5.938350677490234}
{'epoch': 0, 'sample': 960, 'avg_loss': 5.741024082830868, 'loss': 5.646658897399902}
{'epoch': 0, 'sample': 970, 'avg_loss': 5.736894283677719, 'loss': 6.057663917541504}
{'epoch': 0, 'sample': 980, 'avg_loss': 5.73371053811364, 'loss': 5.5637688636779785}
{'epoch': 0, 'sample': 990, 'avg_loss': 5.733479166127117, 'loss': 6.015322685241699}
