EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:250: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 7.735423564910889, 'loss': 7.735423564910889}
{'epoch': 0, 'sample': 10, 'avg_loss': 7.661398844285444, 'loss': 7.792647838592529}
{'epoch': 0, 'sample': 20, 'avg_loss': 7.642198312850225, 'loss': 7.505198001861572}
{'epoch': 0, 'sample': 30, 'avg_loss': 7.655539958707748, 'loss': 7.15030574798584}
{'epoch': 0, 'sample': 40, 'avg_loss': 7.587657986617669, 'loss': 7.220338344573975}
{'epoch': 0, 'sample': 50, 'avg_loss': 7.5237017986821195, 'loss': 6.949258804321289}
{'epoch': 0, 'sample': 60, 'avg_loss': 7.432290147562496, 'loss': 6.865610599517822}
{'epoch': 0, 'sample': 70, 'avg_loss': 7.345393697980424, 'loss': 6.804558753967285}
{'epoch': 0, 'sample': 80, 'avg_loss': 7.277152555960196, 'loss': 6.728372097015381}
{'epoch': 0, 'sample': 90, 'avg_loss': 7.185324370206057, 'loss': 6.413751602172852}
{'epoch': 0, 'sample': 100, 'avg_loss': 7.0968992592084525, 'loss': 7.030398368835449}
{'epoch': 0, 'sample': 110, 'avg_loss': 7.00319056038384, 'loss': 6.083197593688965}
{'epoch': 0, 'sample': 120, 'avg_loss': 6.890113361610854, 'loss': 5.645721435546875}
{'epoch': 0, 'sample': 130, 'avg_loss': 6.777628476383122, 'loss': 5.023936748504639}
{'epoch': 0, 'sample': 140, 'avg_loss': 6.6646096385117115, 'loss': 5.344264984130859}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.545855013739984, 'loss': 4.658708572387695}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.431185571303279, 'loss': 4.603883743286133}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.317069237692314, 'loss': 4.38510274887085}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.2054754989581875, 'loss': 4.227618217468262}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.095696771332107, 'loss': 3.812295436859131}
{'epoch': 0, 'sample': 200, 'avg_loss': 5.9825213311323475, 'loss': 3.786195993423462}
{'epoch': 0, 'sample': 210, 'avg_loss': 5.881979903903618, 'loss': 4.034708499908447}
{'epoch': 0, 'sample': 220, 'avg_loss': 5.793961262810823, 'loss': 4.023513317108154}
{'epoch': 0, 'sample': 230, 'avg_loss': 5.699245641757916, 'loss': 3.8090767860412598}
{'epoch': 0, 'sample': 240, 'avg_loss': 5.617432758521242, 'loss': 3.8996219635009766}
{'epoch': 0, 'sample': 250, 'avg_loss': 5.541691043937349, 'loss': 3.707183837890625}
{'epoch': 0, 'sample': 260, 'avg_loss': 5.469374147868248, 'loss': 3.564110040664673}
{'epoch': 0, 'sample': 270, 'avg_loss': 5.398421510999053, 'loss': 3.4906373023986816}
{'epoch': 0, 'sample': 280, 'avg_loss': 5.329476971643251, 'loss': 3.6123762130737305}
{'epoch': 0, 'sample': 290, 'avg_loss': 5.268191938957398, 'loss': 3.604710817337036}
{'epoch': 0, 'sample': 300, 'avg_loss': 5.206844706868017, 'loss': 3.782109260559082}
{'epoch': 0, 'sample': 310, 'avg_loss': 5.151368254633962, 'loss': 3.771967887878418}
{'epoch': 0, 'sample': 320, 'avg_loss': 5.097183855151833, 'loss': 3.408468723297119}
{'epoch': 0, 'sample': 330, 'avg_loss': 5.0414968955912975, 'loss': 3.1829986572265625}
{'epoch': 0, 'sample': 340, 'avg_loss': 4.995056838234149, 'loss': 3.364694833755493}
{'epoch': 0, 'sample': 350, 'avg_loss': 4.950097489560771, 'loss': 3.5720040798187256}
{'epoch': 0, 'sample': 360, 'avg_loss': 4.905710520836785, 'loss': 3.430018424987793}
{'epoch': 0, 'sample': 370, 'avg_loss': 4.86212846403816, 'loss': 3.0665321350097656}
{'epoch': 0, 'sample': 380, 'avg_loss': 4.822502535472079, 'loss': 3.068936347961426}
{'epoch': 0, 'sample': 390, 'avg_loss': 4.7838411117758595, 'loss': 3.4324872493743896}
{'epoch': 0, 'sample': 400, 'avg_loss': 4.746918844760505, 'loss': 3.47701358795166}
{'epoch': 0, 'sample': 410, 'avg_loss': 4.712814701734668, 'loss': 3.040912389755249}
{'epoch': 0, 'sample': 420, 'avg_loss': 4.680325631574327, 'loss': 3.260460138320923}
{'epoch': 0, 'sample': 430, 'avg_loss': 4.649088070730046, 'loss': 3.834343433380127}
{'epoch': 0, 'sample': 440, 'avg_loss': 4.619134509374225, 'loss': 3.435453414916992}
{'epoch': 0, 'sample': 450, 'avg_loss': 4.588849750696423, 'loss': 3.4298219680786133}
{'epoch': 0, 'sample': 460, 'avg_loss': 4.559616968068021, 'loss': 2.9601926803588867}
{'epoch': 0, 'sample': 470, 'avg_loss': 4.530731578288311, 'loss': 3.3170359134674072}
{'epoch': 0, 'sample': 480, 'avg_loss': 4.503518053994605, 'loss': 3.409834623336792}
{'epoch': 0, 'sample': 490, 'avg_loss': 4.479446058603508, 'loss': 3.3415334224700928}
{'epoch': 0, 'sample': 500, 'avg_loss': 4.455618136895155, 'loss': 3.5746145248413086}
{'epoch': 0, 'sample': 510, 'avg_loss': 4.430750087749235, 'loss': 3.502133846282959}
{'epoch': 0, 'sample': 520, 'avg_loss': 4.409391524466809, 'loss': 3.301485300064087}
{'epoch': 0, 'sample': 530, 'avg_loss': 4.38819550075998, 'loss': 3.1446261405944824}
{'epoch': 0, 'sample': 540, 'avg_loss': 4.367170726966505, 'loss': 3.1651649475097656}
{'epoch': 0, 'sample': 550, 'avg_loss': 4.3444177048608745, 'loss': 3.155519485473633}
{'epoch': 0, 'sample': 560, 'avg_loss': 4.324289370773098, 'loss': 3.264747142791748}
{'epoch': 0, 'sample': 570, 'avg_loss': 4.3051817421320235, 'loss': 3.4386045932769775}
{'epoch': 0, 'sample': 580, 'avg_loss': 4.288039539028568, 'loss': 3.274834632873535}
{'epoch': 0, 'sample': 590, 'avg_loss': 4.268268657416458, 'loss': 2.8425402641296387}
{'epoch': 0, 'sample': 600, 'avg_loss': 4.251389394782347, 'loss': 3.068830966949463}
{'epoch': 0, 'sample': 610, 'avg_loss': 4.232818429481768, 'loss': 2.8448994159698486}
{'epoch': 0, 'sample': 620, 'avg_loss': 4.214848919959076, 'loss': 2.976759433746338}
{'epoch': 0, 'sample': 630, 'avg_loss': 4.197912504480304, 'loss': 3.444794178009033}
{'epoch': 0, 'sample': 640, 'avg_loss': 4.181702842950449, 'loss': 3.068333625793457}
{'epoch': 0, 'sample': 650, 'avg_loss': 4.165753073406659, 'loss': 3.151442527770996}
{'epoch': 0, 'sample': 660, 'avg_loss': 4.150163085666258, 'loss': 3.0673820972442627}
{'epoch': 0, 'sample': 670, 'avg_loss': 4.136113116353884, 'loss': 3.187346935272217}
{'epoch': 0, 'sample': 680, 'avg_loss': 4.120414446103941, 'loss': 3.1089730262756348}
{'epoch': 0, 'sample': 690, 'avg_loss': 4.106534497610222, 'loss': 3.629566192626953}
{'epoch': 0, 'sample': 700, 'avg_loss': 4.091516395778357, 'loss': 2.887248992919922}
{'epoch': 0, 'sample': 710, 'avg_loss': 4.078017051042216, 'loss': 3.13260817527771}
{'epoch': 0, 'sample': 720, 'avg_loss': 4.0651937890152, 'loss': 2.9299185276031494}
{'epoch': 0, 'sample': 730, 'avg_loss': 4.052534624913812, 'loss': 3.1407246589660645}
{'epoch': 0, 'sample': 740, 'avg_loss': 4.040007328375792, 'loss': 3.186002254486084}
{'epoch': 0, 'sample': 750, 'avg_loss': 4.0302465942982195, 'loss': 3.282240390777588}
{'epoch': 0, 'sample': 760, 'avg_loss': 4.018305268143543, 'loss': 3.247514009475708}
{'epoch': 0, 'sample': 770, 'avg_loss': 4.005884704886707, 'loss': 3.043771266937256}
{'epoch': 0, 'sample': 780, 'avg_loss': 3.9929769106314215, 'loss': 3.231459140777588}
{'epoch': 0, 'sample': 790, 'avg_loss': 3.982167399487212, 'loss': 3.125166416168213}
{'epoch': 0, 'sample': 800, 'avg_loss': 3.9716945188619968, 'loss': 3.269224166870117}
{'epoch': 0, 'sample': 810, 'avg_loss': 3.9613503898263125, 'loss': 3.0402016639709473}
{'epoch': 0, 'sample': 820, 'avg_loss': 3.9505459693114156, 'loss': 3.33781099319458}
{'epoch': 0, 'sample': 830, 'avg_loss': 3.9404306302719023, 'loss': 3.214099884033203}
{'epoch': 0, 'sample': 840, 'avg_loss': 3.929410962514163, 'loss': 2.856253147125244}
{'epoch': 0, 'sample': 850, 'avg_loss': 3.920316140604075, 'loss': 3.0313239097595215}
{'epoch': 0, 'sample': 860, 'avg_loss': 3.911403147601084, 'loss': 3.1329257488250732}
{'epoch': 0, 'sample': 870, 'avg_loss': 3.903012347686715, 'loss': 3.0329902172088623}
{'epoch': 0, 'sample': 880, 'avg_loss': 3.8939394350084355, 'loss': 3.2156801223754883}
{'epoch': 0, 'sample': 890, 'avg_loss': 3.8839613088186073, 'loss': 2.934267044067383}
{'epoch': 0, 'sample': 900, 'avg_loss': 3.875337033107728, 'loss': 3.0602164268493652}
{'epoch': 0, 'sample': 910, 'avg_loss': 3.866553273865734, 'loss': 3.3241775035858154}
{'epoch': 0, 'sample': 920, 'avg_loss': 3.8573014606740914, 'loss': 3.3201091289520264}
{'epoch': 0, 'sample': 930, 'avg_loss': 3.8495821161505743, 'loss': 3.218533515930176}
{'epoch': 0, 'sample': 940, 'avg_loss': 3.8412220888512802, 'loss': 3.145521402359009}
{'epoch': 0, 'sample': 950, 'avg_loss': 3.8335629286700867, 'loss': 3.282412528991699}
{'epoch': 0, 'sample': 960, 'avg_loss': 3.8271434021789994, 'loss': 3.2003722190856934}
{'epoch': 0, 'sample': 970, 'avg_loss': 3.8197096545713447, 'loss': 3.170011520385742}
{'epoch': 0, 'sample': 980, 'avg_loss': 3.812285878485739, 'loss': 3.1685473918914795}
