EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:250: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 9.123767852783203, 'loss': 9.123767852783203}
{'epoch': 0, 'sample': 10, 'avg_loss': 8.995172934098678, 'loss': 8.998295783996582}
{'epoch': 0, 'sample': 20, 'avg_loss': 8.991663524082728, 'loss': 8.455854415893555}
{'epoch': 0, 'sample': 30, 'avg_loss': 8.945790352359895, 'loss': 8.546893119812012}
{'epoch': 0, 'sample': 40, 'avg_loss': 8.895069843385278, 'loss': 9.091014862060547}
{'epoch': 0, 'sample': 50, 'avg_loss': 8.796147944880467, 'loss': 8.284774780273438}
{'epoch': 0, 'sample': 60, 'avg_loss': 8.696200894527747, 'loss': 7.968294620513916}
{'epoch': 0, 'sample': 70, 'avg_loss': 8.6112509714046, 'loss': 7.5635905265808105}
{'epoch': 0, 'sample': 80, 'avg_loss': 8.470512819878849, 'loss': 7.394997596740723}
{'epoch': 0, 'sample': 90, 'avg_loss': 8.330017697680127, 'loss': 7.160940170288086}
{'epoch': 0, 'sample': 100, 'avg_loss': 8.177413817679527, 'loss': 6.104449272155762}
{'epoch': 0, 'sample': 110, 'avg_loss': 8.014649103353689, 'loss': 6.023346900939941}
{'epoch': 0, 'sample': 120, 'avg_loss': 7.837313135793386, 'loss': 4.878852844238281}
{'epoch': 0, 'sample': 130, 'avg_loss': 7.668579836838118, 'loss': 5.320248603820801}
{'epoch': 0, 'sample': 140, 'avg_loss': 7.491069682100986, 'loss': 4.889825820922852}
{'epoch': 0, 'sample': 150, 'avg_loss': 7.307852160851687, 'loss': 4.229587554931641}
{'epoch': 0, 'sample': 160, 'avg_loss': 7.138763584705614, 'loss': 4.619455337524414}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.974903756414938, 'loss': 4.41230583190918}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.807079251958521, 'loss': 4.0521697998046875}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.6565004693275975, 'loss': 3.6818275451660156}
{'epoch': 0, 'sample': 200, 'avg_loss': 6.515368278939926, 'loss': 4.231026649475098}
{'epoch': 0, 'sample': 210, 'avg_loss': 6.381268601846921, 'loss': 3.7339975833892822}
{'epoch': 0, 'sample': 220, 'avg_loss': 6.252254896034483, 'loss': 3.445852279663086}
{'epoch': 0, 'sample': 230, 'avg_loss': 6.133279528968778, 'loss': 3.406648874282837}
{'epoch': 0, 'sample': 240, 'avg_loss': 6.019792225350978, 'loss': 3.3726303577423096}
{'epoch': 0, 'sample': 250, 'avg_loss': 5.91459568468223, 'loss': 3.3696327209472656}
{'epoch': 0, 'sample': 260, 'avg_loss': 5.811845519076819, 'loss': 3.1082944869995117}
{'epoch': 0, 'sample': 270, 'avg_loss': 5.7222088940469105, 'loss': 3.452721118927002}
{'epoch': 0, 'sample': 280, 'avg_loss': 5.638059575362562, 'loss': 3.381692886352539}
{'epoch': 0, 'sample': 290, 'avg_loss': 5.560329015312326, 'loss': 3.5737738609313965}
{'epoch': 0, 'sample': 300, 'avg_loss': 5.4874133057768555, 'loss': 3.1695711612701416}
{'epoch': 0, 'sample': 310, 'avg_loss': 5.416092249358199, 'loss': 3.43405818939209}
{'epoch': 0, 'sample': 320, 'avg_loss': 5.348057278220156, 'loss': 3.3435287475585938}
{'epoch': 0, 'sample': 330, 'avg_loss': 5.284668083997651, 'loss': 3.230821371078491}
{'epoch': 0, 'sample': 340, 'avg_loss': 5.224453436664122, 'loss': 3.298253297805786}
{'epoch': 0, 'sample': 350, 'avg_loss': 5.170533824170756, 'loss': 3.1005306243896484}
{'epoch': 0, 'sample': 360, 'avg_loss': 5.116970828365421, 'loss': 3.3993606567382812}
{'epoch': 0, 'sample': 370, 'avg_loss': 5.068182684340567, 'loss': 3.2736856937408447}
{'epoch': 0, 'sample': 380, 'avg_loss': 5.019299452073305, 'loss': 3.2006638050079346}
{'epoch': 0, 'sample': 390, 'avg_loss': 4.972547296977714, 'loss': 3.391735076904297}
{'epoch': 0, 'sample': 400, 'avg_loss': 4.927377294721151, 'loss': 3.0594770908355713}
{'epoch': 0, 'sample': 410, 'avg_loss': 4.885901603675527, 'loss': 3.087493419647217}
{'epoch': 0, 'sample': 420, 'avg_loss': 4.849361114433996, 'loss': 3.6509218215942383}
{'epoch': 0, 'sample': 430, 'avg_loss': 4.811627896921817, 'loss': 3.114335060119629}
{'epoch': 0, 'sample': 440, 'avg_loss': 4.774820250448456, 'loss': 3.2680537700653076}
{'epoch': 0, 'sample': 450, 'avg_loss': 4.742178307404275, 'loss': 3.337066888809204}
{'epoch': 0, 'sample': 460, 'avg_loss': 4.711077737704792, 'loss': 3.220418930053711}
{'epoch': 0, 'sample': 470, 'avg_loss': 4.678732911492609, 'loss': 3.247472047805786}
{'epoch': 0, 'sample': 480, 'avg_loss': 4.64497180936738, 'loss': 2.913486957550049}
{'epoch': 0, 'sample': 490, 'avg_loss': 4.6148027499678665, 'loss': 3.283435344696045}
{'epoch': 0, 'sample': 500, 'avg_loss': 4.586266527632754, 'loss': 3.2633612155914307}
{'epoch': 0, 'sample': 510, 'avg_loss': 4.559486613581559, 'loss': 3.027437448501587}
{'epoch': 0, 'sample': 520, 'avg_loss': 4.532045060522039, 'loss': 3.181513786315918}
{'epoch': 0, 'sample': 530, 'avg_loss': 4.506009118031647, 'loss': 3.3522989749908447}
{'epoch': 0, 'sample': 540, 'avg_loss': 4.483146966715617, 'loss': 3.244518518447876}
{'epoch': 0, 'sample': 550, 'avg_loss': 4.4597021304544215, 'loss': 3.018954038619995}
{'epoch': 0, 'sample': 560, 'avg_loss': 4.43638639016585, 'loss': 3.1398186683654785}
{'epoch': 0, 'sample': 570, 'avg_loss': 4.4112595593240345, 'loss': 3.197864055633545}
{'epoch': 0, 'sample': 580, 'avg_loss': 4.389878990317786, 'loss': 3.425107002258301}
{'epoch': 0, 'sample': 590, 'avg_loss': 4.36876681976512, 'loss': 3.1596837043762207}
{'epoch': 0, 'sample': 600, 'avg_loss': 4.3487022934658155, 'loss': 2.8886613845825195}
{'epoch': 0, 'sample': 610, 'avg_loss': 4.329294637845503, 'loss': 3.286832809448242}
{'epoch': 0, 'sample': 620, 'avg_loss': 4.311199198214521, 'loss': 3.1079647541046143}
{'epoch': 0, 'sample': 630, 'avg_loss': 4.292162123648376, 'loss': 3.1276042461395264}
{'epoch': 0, 'sample': 640, 'avg_loss': 4.273384630587097, 'loss': 3.23099946975708}
{'epoch': 0, 'sample': 650, 'avg_loss': 4.25591105030429, 'loss': 3.38663387298584}
{'epoch': 0, 'sample': 660, 'avg_loss': 4.239153495534646, 'loss': 3.3348231315612793}
{'epoch': 0, 'sample': 670, 'avg_loss': 4.223619016201059, 'loss': 3.1918857097625732}
{'epoch': 0, 'sample': 680, 'avg_loss': 4.208145730120845, 'loss': 3.1614322662353516}
{'epoch': 0, 'sample': 690, 'avg_loss': 4.1927496965990745, 'loss': 2.9916605949401855}
{'epoch': 0, 'sample': 700, 'avg_loss': 4.176684858795579, 'loss': 2.878218173980713}
{'epoch': 0, 'sample': 710, 'avg_loss': 4.160878452402965, 'loss': 3.2430260181427}
{'epoch': 0, 'sample': 720, 'avg_loss': 4.148649213052821, 'loss': 3.3406574726104736}
{'epoch': 0, 'sample': 730, 'avg_loss': 4.134666371117212, 'loss': 3.2145400047302246}
{'epoch': 0, 'sample': 740, 'avg_loss': 4.12169554809488, 'loss': 3.289325475692749}
{'epoch': 0, 'sample': 750, 'avg_loss': 4.10736226432333, 'loss': 3.2577428817749023}
{'epoch': 0, 'sample': 760, 'avg_loss': 4.095730456666783, 'loss': 3.002678155899048}
{'epoch': 0, 'sample': 770, 'avg_loss': 4.083890901310744, 'loss': 3.2110612392425537}
{'epoch': 0, 'sample': 780, 'avg_loss': 4.071252795401365, 'loss': 3.4934659004211426}
{'epoch': 0, 'sample': 790, 'avg_loss': 4.058601286257564, 'loss': 3.184852361679077}
{'epoch': 0, 'sample': 800, 'avg_loss': 4.045098498817091, 'loss': 3.152141571044922}
{'epoch': 0, 'sample': 810, 'avg_loss': 4.034401075466641, 'loss': 3.0140228271484375}
{'epoch': 0, 'sample': 820, 'avg_loss': 4.023085316264237, 'loss': 3.616157293319702}
{'epoch': 0, 'sample': 830, 'avg_loss': 4.011673627203839, 'loss': 3.0836446285247803}
{'epoch': 0, 'sample': 840, 'avg_loss': 4.002217905133006, 'loss': 3.4418740272521973}
{'epoch': 0, 'sample': 850, 'avg_loss': 3.9912105612413025, 'loss': 3.161928415298462}
{'epoch': 0, 'sample': 860, 'avg_loss': 3.980415886702853, 'loss': 2.8426082134246826}
{'epoch': 0, 'sample': 870, 'avg_loss': 3.9692402764658703, 'loss': 2.9977526664733887}
{'epoch': 0, 'sample': 880, 'avg_loss': 3.958228720168115, 'loss': 2.838291645050049}
{'epoch': 0, 'sample': 890, 'avg_loss': 3.9480917943447125, 'loss': 3.102423667907715}
{'epoch': 0, 'sample': 900, 'avg_loss': 3.9384649059219443, 'loss': 3.4455809593200684}
{'epoch': 0, 'sample': 910, 'avg_loss': 3.9297296650192477, 'loss': 3.4139394760131836}
{'epoch': 0, 'sample': 920, 'avg_loss': 3.921404706020956, 'loss': 3.195777177810669}
{'epoch': 0, 'sample': 930, 'avg_loss': 3.912627230909534, 'loss': 3.2812676429748535}
{'epoch': 0, 'sample': 940, 'avg_loss': 3.903157917016624, 'loss': 2.748800039291382}
{'epoch': 0, 'sample': 950, 'avg_loss': 3.894035955082104, 'loss': 3.266939878463745}
{'epoch': 0, 'sample': 960, 'avg_loss': 3.8855869777492877, 'loss': 2.8674182891845703}
{'epoch': 0, 'sample': 970, 'avg_loss': 3.8767989366847626, 'loss': 3.309629201889038}
{'epoch': 0, 'sample': 980, 'avg_loss': 3.868469531139953, 'loss': 3.070344924926758}
