EP_train_pretrain:0:   0%|| 0/14746 [00:00<?, ?it/s]/home/yichuan/HKU/EBM/ire_reasoning/main.py:250: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss_is_nan = torch.isnan(torch.tensor(ce_loss)).any()
                                                              
{'epoch': 0, 'sample': 0, 'avg_loss': 7.509193420410156, 'loss': 7.509193420410156}
{'epoch': 0, 'sample': 10, 'avg_loss': 7.036070910367099, 'loss': 6.787833213806152}
{'epoch': 0, 'sample': 20, 'avg_loss': 7.058831873394194, 'loss': 7.169366836547852}
{'epoch': 0, 'sample': 30, 'avg_loss': 6.973009601716073, 'loss': 6.780333518981934}
{'epoch': 0, 'sample': 40, 'avg_loss': 6.983598557914176, 'loss': 6.726190567016602}
{'epoch': 0, 'sample': 50, 'avg_loss': 6.942960636288512, 'loss': 6.718353271484375}
{'epoch': 0, 'sample': 60, 'avg_loss': 6.899507866531122, 'loss': 6.412545204162598}
{'epoch': 0, 'sample': 70, 'avg_loss': 6.884094809142637, 'loss': 7.172274112701416}
{'epoch': 0, 'sample': 80, 'avg_loss': 6.8515115667272495, 'loss': 6.760646820068359}
{'epoch': 0, 'sample': 90, 'avg_loss': 6.811119944184691, 'loss': 6.389502048492432}
{'epoch': 0, 'sample': 100, 'avg_loss': 6.763206524424033, 'loss': 6.076057434082031}
{'epoch': 0, 'sample': 110, 'avg_loss': 6.708397547403972, 'loss': 6.233699798583984}
{'epoch': 0, 'sample': 120, 'avg_loss': 6.668038553442837, 'loss': 6.492030620574951}
{'epoch': 0, 'sample': 130, 'avg_loss': 6.605174570593215, 'loss': 5.860816955566406}
{'epoch': 0, 'sample': 140, 'avg_loss': 6.543855907223749, 'loss': 5.503458023071289}
{'epoch': 0, 'sample': 150, 'avg_loss': 6.485744646842906, 'loss': 5.554170608520508}
{'epoch': 0, 'sample': 160, 'avg_loss': 6.429671734756565, 'loss': 5.657410621643066}
{'epoch': 0, 'sample': 170, 'avg_loss': 6.36471824757537, 'loss': 5.1179399490356445}
{'epoch': 0, 'sample': 180, 'avg_loss': 6.3016015021181895, 'loss': 5.375047206878662}
{'epoch': 0, 'sample': 190, 'avg_loss': 6.248067578720173, 'loss': 5.140378952026367}
{'epoch': 0, 'sample': 200, 'avg_loss': 6.1981775060815005, 'loss': 5.441631317138672}
{'epoch': 0, 'sample': 210, 'avg_loss': 6.152381747819801, 'loss': 5.290098667144775}
{'epoch': 0, 'sample': 220, 'avg_loss': 6.098918407750885, 'loss': 4.941462516784668}
{'epoch': 0, 'sample': 230, 'avg_loss': 6.053219343160654, 'loss': 4.698140621185303}
{'epoch': 0, 'sample': 240, 'avg_loss': 6.009561305224153, 'loss': 5.218898296356201}
{'epoch': 0, 'sample': 250, 'avg_loss': 5.972197338879346, 'loss': 5.019224166870117}
{'epoch': 0, 'sample': 260, 'avg_loss': 5.937159426824343, 'loss': 4.717152118682861}
{'epoch': 0, 'sample': 270, 'avg_loss': 5.901206174899731, 'loss': 5.052502155303955}
{'epoch': 0, 'sample': 280, 'avg_loss': 5.865492410082834, 'loss': 5.19719934463501}
{'epoch': 0, 'sample': 290, 'avg_loss': 5.837769577183674, 'loss': 4.9543843269348145}
{'epoch': 0, 'sample': 300, 'avg_loss': 5.809161404834633, 'loss': 4.755985260009766}
{'epoch': 0, 'sample': 310, 'avg_loss': 5.782848666335226, 'loss': 4.730111122131348}
{'epoch': 0, 'sample': 320, 'avg_loss': 5.756510935097097, 'loss': 4.965508460998535}
{'epoch': 0, 'sample': 330, 'avg_loss': 5.732947274637366, 'loss': 5.1132965087890625}
{'epoch': 0, 'sample': 340, 'avg_loss': 5.712889225252213, 'loss': 4.514955520629883}
{'epoch': 0, 'sample': 350, 'avg_loss': 5.690791797094535, 'loss': 5.030210018157959}
{'epoch': 0, 'sample': 360, 'avg_loss': 5.667572672677502, 'loss': 5.192902565002441}
{'epoch': 0, 'sample': 370, 'avg_loss': 5.645691875498892, 'loss': 4.860986709594727}
{'epoch': 0, 'sample': 380, 'avg_loss': 5.627382812850431, 'loss': 4.872572898864746}
{'epoch': 0, 'sample': 390, 'avg_loss': 5.612791571165899, 'loss': 4.710998058319092}
{'epoch': 0, 'sample': 400, 'avg_loss': 5.5973789626523445, 'loss': 5.389447212219238}
{'epoch': 0, 'sample': 410, 'avg_loss': 5.576021621407094, 'loss': 4.737601280212402}
{'epoch': 0, 'sample': 420, 'avg_loss': 5.559253626934423, 'loss': 5.110861778259277}
{'epoch': 0, 'sample': 430, 'avg_loss': 5.543035643283287, 'loss': 4.806074142456055}
{'epoch': 0, 'sample': 440, 'avg_loss': 5.530529361733503, 'loss': 5.061951637268066}
{'epoch': 0, 'sample': 450, 'avg_loss': 5.517244959617665, 'loss': 5.231868743896484}
{'epoch': 0, 'sample': 460, 'avg_loss': 5.503794278084844, 'loss': 4.883101463317871}
{'epoch': 0, 'sample': 470, 'avg_loss': 5.491233498680617, 'loss': 5.239631175994873}
{'epoch': 0, 'sample': 480, 'avg_loss': 5.47580950175898, 'loss': 4.871977806091309}
{'epoch': 0, 'sample': 490, 'avg_loss': 5.462999664353256, 'loss': 4.553292274475098}
{'epoch': 0, 'sample': 500, 'avg_loss': 5.452197624061874, 'loss': 5.062288284301758}
{'epoch': 0, 'sample': 510, 'avg_loss': 5.440429785480238, 'loss': 4.954771995544434}
{'epoch': 0, 'sample': 520, 'avg_loss': 5.429616346926698, 'loss': 4.954540252685547}
{'epoch': 0, 'sample': 530, 'avg_loss': 5.418477599903689, 'loss': 4.735332012176514}
{'epoch': 0, 'sample': 540, 'avg_loss': 5.4085474675331895, 'loss': 4.988931179046631}
{'epoch': 0, 'sample': 550, 'avg_loss': 5.39638116182303, 'loss': 4.756296634674072}
{'epoch': 0, 'sample': 560, 'avg_loss': 5.388606453961867, 'loss': 4.966353893280029}
{'epoch': 0, 'sample': 570, 'avg_loss': 5.377763359016378, 'loss': 4.349513530731201}
{'epoch': 0, 'sample': 580, 'avg_loss': 5.3674778971122175, 'loss': 4.7487406730651855}
{'epoch': 0, 'sample': 590, 'avg_loss': 5.357039755774432, 'loss': 4.669020175933838}
{'epoch': 0, 'sample': 600, 'avg_loss': 5.345934697276542, 'loss': 4.873466491699219}
{'epoch': 0, 'sample': 610, 'avg_loss': 5.338624976855838, 'loss': 4.75836181640625}
{'epoch': 0, 'sample': 620, 'avg_loss': 5.332783804231604, 'loss': 5.027525424957275}
{'epoch': 0, 'sample': 630, 'avg_loss': 5.322442298834751, 'loss': 4.466864109039307}
{'epoch': 0, 'sample': 640, 'avg_loss': 5.313363697897067, 'loss': 4.9158101081848145}
{'epoch': 0, 'sample': 650, 'avg_loss': 5.30601836129817, 'loss': 4.910414695739746}
{'epoch': 0, 'sample': 660, 'avg_loss': 5.298212499373259, 'loss': 4.471037864685059}
{'epoch': 0, 'sample': 670, 'avg_loss': 5.292685851254868, 'loss': 4.837340354919434}
{'epoch': 0, 'sample': 680, 'avg_loss': 5.285930152506555, 'loss': 4.940898418426514}
{'epoch': 0, 'sample': 690, 'avg_loss': 5.2794293598224735, 'loss': 4.738764762878418}
{'epoch': 0, 'sample': 700, 'avg_loss': 5.2719814413454325, 'loss': 5.056240081787109}
{'epoch': 0, 'sample': 710, 'avg_loss': 5.264896895815048, 'loss': 4.776989936828613}
{'epoch': 0, 'sample': 720, 'avg_loss': 5.257133155854499, 'loss': 4.770090579986572}
{'epoch': 0, 'sample': 730, 'avg_loss': 5.249355571866851, 'loss': 3.988281726837158}
{'epoch': 0, 'sample': 740, 'avg_loss': 5.243383785330171, 'loss': 4.49970817565918}
{'epoch': 0, 'sample': 750, 'avg_loss': 5.239553940439034, 'loss': 5.2594170570373535}
{'epoch': 0, 'sample': 760, 'avg_loss': 5.232382857063284, 'loss': 4.869087219238281}
{'epoch': 0, 'sample': 770, 'avg_loss': 5.227491513609731, 'loss': 4.832247734069824}
{'epoch': 0, 'sample': 780, 'avg_loss': 5.222065166077754, 'loss': 4.623022079467773}
{'epoch': 0, 'sample': 790, 'avg_loss': 5.217696825261363, 'loss': 4.789103984832764}
{'epoch': 0, 'sample': 800, 'avg_loss': 5.2108284656177, 'loss': 4.1953864097595215}
{'epoch': 0, 'sample': 810, 'avg_loss': 5.2056199325439225, 'loss': 4.588253021240234}
{'epoch': 0, 'sample': 820, 'avg_loss': 5.201051428024719, 'loss': 4.717123985290527}
{'epoch': 0, 'sample': 830, 'avg_loss': 5.196182086292731, 'loss': 4.931451320648193}
{'epoch': 0, 'sample': 840, 'avg_loss': 5.191097820839899, 'loss': 4.7749528884887695}
{'epoch': 0, 'sample': 850, 'avg_loss': 5.18557484141528, 'loss': 4.767958164215088}
{'epoch': 0, 'sample': 860, 'avg_loss': 5.181723745303979, 'loss': 4.92912483215332}
{'epoch': 0, 'sample': 870, 'avg_loss': 5.175522840392576, 'loss': 4.656255722045898}
{'epoch': 0, 'sample': 880, 'avg_loss': 5.171167770390072, 'loss': 4.737922668457031}
{'epoch': 0, 'sample': 890, 'avg_loss': 5.166156563828422, 'loss': 4.604629993438721}
{'epoch': 0, 'sample': 900, 'avg_loss': 5.162090674092317, 'loss': 4.848326683044434}
{'epoch': 0, 'sample': 910, 'avg_loss': 5.157547158284193, 'loss': 5.020693778991699}
{'epoch': 0, 'sample': 920, 'avg_loss': 5.154343632481645, 'loss': 4.7860283851623535}
{'epoch': 0, 'sample': 930, 'avg_loss': 5.1516691970005715, 'loss': 5.115499019622803}
{'epoch': 0, 'sample': 940, 'avg_loss': 5.146982146373591, 'loss': 4.868671417236328}
{'epoch': 0, 'sample': 950, 'avg_loss': 5.143846422089137, 'loss': 4.952499866485596}
{'epoch': 0, 'sample': 960, 'avg_loss': 5.140010392628649, 'loss': 5.181720733642578}
{'epoch': 0, 'sample': 970, 'avg_loss': 5.136804576759849, 'loss': 4.818456649780273}
{'epoch': 0, 'sample': 980, 'avg_loss': 5.1340497553530815, 'loss': 5.068881034851074}
{'epoch': 0, 'sample': 990, 'avg_loss': 5.130301658849784, 'loss': 4.372018337249756}
