EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 5.042819023132324, avg_ce_loss: 2.667358875274658, avg_contrast_loss: 2.375460147857666
avg_loss: 5.028939247131348, avg_ce_loss: 2.6642394065856934, avg_contrast_loss: 2.3646998405456543
avg_loss: 4.921655178070068, avg_ce_loss: 2.635155200958252, avg_contrast_loss: 2.2865002155303955
avg_loss: 4.878127098083496, avg_ce_loss: 2.638029098510742, avg_contrast_loss: 2.240097999572754
avg_loss: 4.8154425621032715, avg_ce_loss: 2.6242048740386963, avg_contrast_loss: 2.191237449645996
avg_loss: 4.6777448654174805, avg_ce_loss: 2.4665589332580566, avg_contrast_loss: 2.211185932159424
avg_loss: 4.604216575622559, avg_ce_loss: 2.4284539222717285, avg_contrast_loss: 2.17576265335083
avg_loss: 4.547889709472656, avg_ce_loss: 2.4096598625183105, avg_contrast_loss: 2.1382293701171875
avg_loss: 4.508357048034668, avg_ce_loss: 2.395061492919922, avg_contrast_loss: 2.113295555114746
avg_loss: 4.497445106506348, avg_ce_loss: 2.3962485790252686, avg_contrast_loss: 2.101196527481079
avg_loss: 4.460038185119629, avg_ce_loss: 2.379786491394043, avg_contrast_loss: 2.0802512168884277
avg_loss: 4.376230716705322, avg_ce_loss: 2.343846082687378, avg_contrast_loss: 2.0323848724365234
avg_loss: 4.36387825012207, avg_ce_loss: 2.3387296199798584, avg_contrast_loss: 2.025148630142212
avg_loss: 4.388280391693115, avg_ce_loss: 2.366481065750122, avg_contrast_loss: 2.021799325942993
avg_loss: 4.377646446228027, avg_ce_loss: 2.361957550048828, avg_contrast_loss: 2.015688896179199
avg_loss: 4.297635078430176, avg_ce_loss: 2.3183486461639404, avg_contrast_loss: 1.979286789894104
avg_loss: 4.348606109619141, avg_ce_loss: 2.3482627868652344, avg_contrast_loss: 2.0003435611724854
avg_loss: 4.392560958862305, avg_ce_loss: 2.3746845722198486, avg_contrast_loss: 2.017876625061035
avg_loss: 4.365422248840332, avg_ce_loss: 2.3590359687805176, avg_contrast_loss: 2.0063862800598145
avg_loss: 4.322049617767334, avg_ce_loss: 2.3399271965026855, avg_contrast_loss: 1.9821224212646484
avg_loss: 4.336007595062256, avg_ce_loss: 2.3462140560150146, avg_contrast_loss: 1.9897937774658203
avg_loss: 4.289693832397461, avg_ce_loss: 2.3225936889648438, avg_contrast_loss: 1.967099666595459
avg_loss: 4.258965492248535, avg_ce_loss: 2.306318759918213, avg_contrast_loss: 1.9526472091674805
avg_loss: 4.290082931518555, avg_ce_loss: 2.323925733566284, avg_contrast_loss: 1.9661568403244019
avg_loss: 4.336960792541504, avg_ce_loss: 2.350268840789795, avg_contrast_loss: 1.9866918325424194
avg_loss: 4.277359962463379, avg_ce_loss: 2.317289352416992, avg_contrast_loss: 1.9600703716278076
avg_loss: 4.3532915115356445, avg_ce_loss: 2.3582162857055664, avg_contrast_loss: 1.995074987411499
avg_loss: 4.348199367523193, avg_ce_loss: 2.355738639831543, avg_contrast_loss: 1.99246084690094
avg_loss: 4.361001491546631, avg_ce_loss: 2.3653106689453125, avg_contrast_loss: 1.9956910610198975
avg_loss: 4.326496124267578, avg_ce_loss: 2.3443257808685303, avg_contrast_loss: 1.9821703433990479
avg_loss: 4.32341194152832, avg_ce_loss: 2.342937469482422, avg_contrast_loss: 1.9804744720458984
avg_loss: 4.376550674438477, avg_ce_loss: 2.37186861038208, avg_contrast_loss: 2.0046818256378174
avg_loss: 4.3313212394714355, avg_ce_loss: 2.346071720123291, avg_contrast_loss: 1.985249400138855
avg_loss: 4.285515308380127, avg_ce_loss: 2.320751905441284, avg_contrast_loss: 1.9647631645202637
avg_loss: 4.263927459716797, avg_ce_loss: 2.309072494506836, avg_contrast_loss: 1.95485520362854
avg_loss: 4.345696449279785, avg_ce_loss: 2.3524856567382812, avg_contrast_loss: 1.9932105541229248
avg_loss: 4.203327178955078, avg_ce_loss: 2.2646138668060303, avg_contrast_loss: 1.938713550567627
avg_loss: 4.336115837097168, avg_ce_loss: 2.3238425254821777, avg_contrast_loss: 2.012273073196411
avg_loss: 4.259354591369629, avg_ce_loss: 2.278019905090332, avg_contrast_loss: 1.9813346862792969
avg_loss: 4.288242816925049, avg_ce_loss: 2.288050413131714, avg_contrast_loss: 2.000192880630493
avg_loss: 4.2970967292785645, avg_ce_loss: 2.288102865219116, avg_contrast_loss: 2.008993625640869
avg_loss: 4.325572967529297, avg_ce_loss: 2.3062329292297363, avg_contrast_loss: 2.0193400382995605
avg_loss: 4.287006378173828, avg_ce_loss: 2.278324604034424, avg_contrast_loss: 2.0086817741394043
avg_loss: 4.280589580535889, avg_ce_loss: 2.275787353515625, avg_contrast_loss: 2.0048019886016846
avg_loss: 4.21754264831543, avg_ce_loss: 2.239558696746826, avg_contrast_loss: 1.9779841899871826
avg_loss: 4.171018600463867, avg_ce_loss: 2.212294578552246, avg_contrast_loss: 1.9587242603302002
avg_loss: 4.198443412780762, avg_ce_loss: 2.226147413253784, avg_contrast_loss: 1.9722962379455566
avg_loss: 4.178628921508789, avg_ce_loss: 2.2168822288513184, avg_contrast_loss: 1.9617464542388916
avg_loss: 4.291720867156982, avg_ce_loss: 2.275918483734131, avg_contrast_loss: 2.0158023834228516
avg_loss: 4.159713268280029, avg_ce_loss: 2.205993175506592, avg_contrast_loss: 1.9537200927734375
avg_loss: 4.276202201843262, avg_ce_loss: 2.2635045051574707, avg_contrast_loss: 2.012698173522949
avg_loss: 4.197752952575684, avg_ce_loss: 2.224442958831787, avg_contrast_loss: 1.973309874534607
avg_loss: 4.210495948791504, avg_ce_loss: 2.229790210723877, avg_contrast_loss: 1.9807056188583374
avg_loss: 4.268886566162109, avg_ce_loss: 2.259951591491699, avg_contrast_loss: 2.0089352130889893
avg_loss: 4.231164932250977, avg_ce_loss: 2.2392897605895996, avg_contrast_loss: 1.9918749332427979
avg_loss: 4.350406646728516, avg_ce_loss: 2.3156752586364746, avg_contrast_loss: 2.034731388092041
avg_loss: 4.303467750549316, avg_ce_loss: 2.283674955368042, avg_contrast_loss: 2.0197932720184326
avg_loss: 4.583871841430664, avg_ce_loss: 2.3988540172576904, avg_contrast_loss: 2.185018301010132
avg_loss: 4.314176559448242, avg_ce_loss: 2.2963786125183105, avg_contrast_loss: 2.0177979469299316
avg_loss: 4.220878601074219, avg_ce_loss: 2.244406223297119, avg_contrast_loss: 1.9764726161956787
