EP_train_inference:0:  20%|| 310/1563 [27:31<1:47:36,  5.15s/it]
avg_loss: 5.013244152069092, avg_ce_loss: 2.6553657054901123, avg_contrast_loss: 2.3578786849975586
avg_loss: 4.956786155700684, avg_ce_loss: 2.6464338302612305, avg_contrast_loss: 2.310352325439453
avg_loss: 4.8797125816345215, avg_ce_loss: 2.645782947540283, avg_contrast_loss: 2.2339296340942383
avg_loss: 4.770337104797363, avg_ce_loss: 2.613286256790161, avg_contrast_loss: 2.157050609588623
avg_loss: 4.573238372802734, avg_ce_loss: 2.4202117919921875, avg_contrast_loss: 2.153027057647705
avg_loss: 4.521535396575928, avg_ce_loss: 2.400284767150879, avg_contrast_loss: 2.1212501525878906
avg_loss: 4.486371040344238, avg_ce_loss: 2.3934454917907715, avg_contrast_loss: 2.092925548553467
avg_loss: 4.261439323425293, avg_ce_loss: 2.284787893295288, avg_contrast_loss: 1.9766510725021362
avg_loss: 4.22161340713501, avg_ce_loss: 2.279721736907959, avg_contrast_loss: 1.9418916702270508
avg_loss: 4.170435905456543, avg_ce_loss: 2.2508246898651123, avg_contrast_loss: 1.9196113348007202
avg_loss: 4.187243461608887, avg_ce_loss: 2.2671027183532715, avg_contrast_loss: 1.9201407432556152
avg_loss: 4.143503189086914, avg_ce_loss: 2.240298271179199, avg_contrast_loss: 1.9032052755355835
avg_loss: 4.223256587982178, avg_ce_loss: 2.287309408187866, avg_contrast_loss: 1.9359471797943115
avg_loss: 4.239583969116211, avg_ce_loss: 2.2958455085754395, avg_contrast_loss: 1.9437386989593506
avg_loss: 4.194956302642822, avg_ce_loss: 2.261892557144165, avg_contrast_loss: 1.9330638647079468
avg_loss: 4.213903903961182, avg_ce_loss: 2.2782704830169678, avg_contrast_loss: 1.9356331825256348
avg_loss: 4.155419826507568, avg_ce_loss: 2.251753807067871, avg_contrast_loss: 1.9036662578582764
avg_loss: 4.180909633636475, avg_ce_loss: 2.265227794647217, avg_contrast_loss: 1.9156817197799683
avg_loss: 4.206034183502197, avg_ce_loss: 2.2768945693969727, avg_contrast_loss: 1.9291398525238037
avg_loss: 4.150180816650391, avg_ce_loss: 2.250244617462158, avg_contrast_loss: 1.8999357223510742
avg_loss: 4.1323957443237305, avg_ce_loss: 2.2414329051971436, avg_contrast_loss: 1.8909629583358765
avg_loss: 4.152501106262207, avg_ce_loss: 2.2551839351654053, avg_contrast_loss: 1.89731764793396
avg_loss: 4.136752128601074, avg_ce_loss: 2.2419991493225098, avg_contrast_loss: 1.894752860069275
avg_loss: 4.158716201782227, avg_ce_loss: 2.2560935020446777, avg_contrast_loss: 1.9026226997375488
avg_loss: 4.1926493644714355, avg_ce_loss: 2.2725448608398438, avg_contrast_loss: 1.9201043844223022
avg_loss: 4.127110004425049, avg_ce_loss: 2.240123987197876, avg_contrast_loss: 1.8869861364364624
avg_loss: 4.258386611938477, avg_ce_loss: 2.289546012878418, avg_contrast_loss: 1.9688405990600586
avg_loss: 4.084432601928711, avg_ce_loss: 2.217777729034424, avg_contrast_loss: 1.8666547536849976
avg_loss: 4.152213096618652, avg_ce_loss: 2.24884033203125, avg_contrast_loss: 1.9033730030059814
avg_loss: 4.1140336990356445, avg_ce_loss: 2.212859869003296, avg_contrast_loss: 1.9011738300323486
avg_loss: 4.160488605499268, avg_ce_loss: 2.2261128425598145, avg_contrast_loss: 1.9343756437301636
avg_loss: 4.055084228515625, avg_ce_loss: 2.1617417335510254, avg_contrast_loss: 1.8933420181274414
avg_loss: 4.034270763397217, avg_ce_loss: 2.1463379859924316, avg_contrast_loss: 1.8879327774047852
avg_loss: 4.073220252990723, avg_ce_loss: 2.168887138366699, avg_contrast_loss: 1.9043325185775757
avg_loss: 4.023875713348389, avg_ce_loss: 2.1397953033447266, avg_contrast_loss: 1.884080410003662
